n_internal_knots,regression_cv_mse,regression_cv_mse_sd,classification_cv_log_loss,classification_cv_log_loss_sd,classification_cv_brier,classification_cv_brier_sd
0,21.913363985431243,3.969702149499937,0.46078831411479515,0.11600795738394516,0.14402416468114915,0.03822628934489365
1,20.48965132228987,2.854919332611699,0.46616858629869445,0.11575136882792654,0.14475045159075975,0.03782023050741305
2,20.429659487800272,2.9089813923104675,0.46896900503436284,0.1257600098826293,0.1464424469512573,0.04121619966138141
3,20.600521917333747,3.0669343941880265,0.4822773591194194,0.11704216072065371,0.14984887553082998,0.040474417826017225
4,20.77466319438392,2.782382006807874,0.48707381512412484,0.11436912361898466,0.149985429402215,0.03957335084461868
5,20.93723460671435,2.843234815337762,0.4966686466507797,0.1153591254001796,0.14898841097915225,0.03895154627250642
6,21.070453692439433,2.8411067746984355,0.4998145382542667,0.10993768602115558,0.15280973046715687,0.04055290543613297
7,21.28518037815034,2.7100169158580476,0.5432330103754739,0.12057310621882214,0.15442830347421677,0.04316195441187832
8,21.37794830705211,2.5697207350339095,0.6012500172517418,0.17574503474371775,0.1531671743873882,0.04162497810967326
9,21.563140859073208,2.7091171068917954,0.6721235864845264,0.2337252995729456,0.15307104351134887,0.045872989061760155
10,21.89895241926359,2.8664031710830855,0.6591009264813275,0.16725436669839008,0.15525576369662103,0.04197973225461328
