stage,candidate_id,config_key,cv_seed,fold,n_train,n_validation,best_n_estimators,mse,rmse,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",2026,1,240,60,234,1358.5807265147891,36.85893007826989,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.20628959699225433,0.0036765990678311747,0.3695883279287887,0.0,0.1749917713264646,0.003719335884328339,0.1319427643838634,0.1097916044164694,0.0,0.0,0.0,0.0
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",2026,2,240,60,159,1735.5765620039724,41.6602515835415,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.24583952722318217,0.00378148969698889,0.3844516640010819,0.0,0.15894319243080093,0.0,0.11683429802035272,0.08864814507524853,0.0,0.0,0.0,0.0015016835523448606
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",2026,3,240,60,371,1399.3727452989176,37.40819088513795,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.22189501088293834,0.005448652968810002,0.36321858063335716,0.0007840828501765988,0.1667607208812084,0.006885904961621553,0.09170220272487487,0.13996326813077659,0.00047390836235304497,0.0002008060034131896,0.0017197859280491073,0.0009470756724211204
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",2026,4,240,60,500,1096.3119496438592,33.11060177109228,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.19718588533801334,0.006415759315055924,0.394003809987267,6.045144908802675e-05,0.16972057946953253,0.004581280284155578,0.08906884571341549,0.1356190429850531,0.00030594053320883666,7.21039625966239e-05,0.002428959182591357,0.0005373417800222117
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",2026,5,240,60,332,1442.0963041958587,37.97494310984361,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.2173676009962239,0.007596484599370456,0.3218540922542607,0.00019396184650869895,0.234081380313245,0.0034540180642085787,0.1050631858287586,0.109055192200669,0.0,0.000247522655409106,0.0002783944720542274,0.0008081667692917085
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",9618,1,240,60,332,795.8279868893372,28.210423373096287,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21007861052456792,0.0033138478018287297,0.34046456583955315,0.0006561683148541424,0.18249690996448287,0.0012421398438337502,0.1315189401031421,0.12663081705859033,0.0,0.0006250589073006154,0.0004152798896053712,0.0025576617522410513
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",9618,2,240,60,705,1680.4962293516717,40.99385599515703,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.24341439604013979,0.007786691532328665,0.34850491971895126,0.0010401307761550437,0.21699018945389764,0.0068940888757241135,0.0871575129350327,0.07983785394913173,0.00017136000934259214,0.0011624747325295179,0.003419521531361301,0.0036208604454057033
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",9618,3,240,60,547,1289.4512390549858,35.908929795455975,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.17634127903711036,0.017299818063896296,0.4199907868173887,0.00045932960408674164,0.15039303140346008,0.004334054112784979,0.07094863465499178,0.1557795065548333,0.0,0.0004939895328205304,0.0019681453771987897,0.001991424841428434
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",9618,4,240,60,401,1913.5160503800146,43.743754415687896,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21203000781982453,0.005139083280067047,0.36936865602574875,0.0,0.16331569410591795,0.0031159535474020303,0.14303506314907283,0.09996889799778494,0.0018314844213217663,0.0,0.0014954464164905431,0.0006997132363696247
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",9618,5,240,60,690,1612.2524998420363,40.15286415490228,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.2159486939061172,0.009691850275399278,0.354839313596091,0.0003201467053053367,0.19305835416241238,0.0016200845686672387,0.10330636379006987,0.11557840497600148,0.0,0.0006095247137509364,0.0015981426691744605,0.0034291206370108246
