shortlist_order,oob_rank,max_depth,min_samples_leaf,n_trees,mtry,seed,oob_mse,oob_rmse,oob_coverage,min_oob_count,mean_oob_count,max_oob_count,mean_tree_depth,mean_node_count,mean_leaf_count,mean_unique_inbag_rows,elapsed_seconds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF,raw_sse_share_GrLivArea,raw_sse_share_LotArea,raw_sse_share_OverallQual,raw_sse_share_OverallCond,raw_sse_share_YearBuilt,raw_sse_share_YearRemodAdd,raw_sse_share_TotalBsmtSF,raw_sse_share_GarageArea,raw_sse_share_BedroomAbvGr,raw_sse_share_Fireplaces,raw_sse_share_WoodDeckSF,raw_sse_share_OpenPorchSF
1,1,8,1,500,4,9618,1424.5689118128669,37.743461841925246,1.0,157,183.20666666666668,220,8.0,196.212,98.606,190.076,23.598380899988115,0.1609685198770734,0.0327913413927903,0.2681980428496689,0.0124405238920622,0.2156668539315905,0.0361256903523253,0.0975415555870254,0.1249491775169474,0.009127208519781,0.0067497519557379,0.0080808195141356,0.0273605146108614,0.1616035155206162,0.0326845404610654,0.2676808714022499,0.0125356522056515,0.2155535600026866,0.0360052619668811,0.0979461164238425,0.1253022725351372,0.009117626852531,0.0066627809950492,0.0080840798080898,0.0268237218261991
2,2,12,3,500,4,9618,1431.327557721025,37.8328898938612,1.0,157,183.20666666666668,220,11.192,152.576,76.788,190.076,18.304956599953584,0.1581650679582409,0.0299127196297867,0.2667024247763158,0.0088911848567812,0.2212357178553665,0.037495526402272,0.0946549778706803,0.1315343282117791,0.0088400047521434,0.0069830489880802,0.0084560768461796,0.0271289218523741,0.1591619015880183,0.0299517477554701,0.266098615333496,0.0089242901377978,0.2211841802259968,0.0373138440859225,0.094952185431154,0.1315930052469391,0.0088343366523829,0.006919057489804,0.0085195261624212,0.0265473098905966
3,3,8,2,500,4,9618,1432.9563995338997,37.85441056909881,1.0,157,183.20666666666668,220,8.0,157.448,79.224,190.076,19.32474710000679,0.1604848788708445,0.0307875565740811,0.269070508518303,0.0111187087383345,0.2147313301639901,0.0382740340444278,0.0985701052049346,0.1251763361849457,0.0095450160597503,0.0064690968201977,0.0084710932412193,0.0273013355789709,0.1614772645210715,0.030739307142613,0.268043409174027,0.0111652542882651,0.2146086457427581,0.038366848528631,0.0987348301849119,0.12559213687336,0.0095820552741303,0.0064700188438659,0.0084920711626349,0.0267281582637307
4,4,12,2,500,4,9618,1433.343881808025,37.85952828295705,1.0,157,183.20666666666668,220,11.886,216.34,108.67,190.076,26.24628560000565,0.1606265595221563,0.0319105439650085,0.2681530361216993,0.0113189725605338,0.2130261049397608,0.0367792597501558,0.097486733333838,0.1294455458823662,0.0088586643334662,0.0067981101357286,0.0086539768286794,0.0269424926266064,0.16129846108955,0.0318974783812316,0.2671638328190581,0.0114236035332062,0.2128520357979373,0.036654770881468,0.097496629732113,0.1305159129090896,0.0088524654486098,0.0068344733237569,0.0086273578518522,0.0263829782321267
5,5,15,3,500,4,9618,1435.8553053243716,37.8926814216726,1.0,157,183.20666666666668,220,11.436,153.072,77.036,190.076,18.77657889999682,0.1578181222497033,0.0299427439822712,0.2683061540443029,0.0094436108064772,0.2204526533442505,0.0371766155036772,0.0945390358278799,0.1308137051507114,0.0089721248240077,0.0071530158926806,0.0083442143377959,0.0270380040362416,0.1588041755234208,0.0300556018117465,0.2676783573142471,0.0094857840288901,0.2204278434238248,0.0369897351316762,0.0947833937749885,0.1308787335435584,0.0089547994561982,0.0071068775409465,0.0083860791741007,0.0264486192764016
6,6,15,2,500,4,9618,1437.7652050051772,37.91787447899971,1.0,157,183.20666666666668,220,12.976,220.104,110.552,190.076,25.72579559998121,0.1594308469028191,0.0321184031762946,0.2720091092421614,0.0113349737472739,0.212626892773532,0.0369067194074686,0.0966833324676973,0.1282267138953343,0.008780024305736,0.0066507066683607,0.0081869024069418,0.0270453750063797,0.1602683571985268,0.0320728517264794,0.2709398003508641,0.0114654672096996,0.2125385329026761,0.0366794988811293,0.0968246696177529,0.1290774078503766,0.0087277534177071,0.006692077570724,0.0082156467763999,0.0264979364976635
7,18,7,5,500,4,9618,1480.683811001286,38.47965450730147,1.0,157,183.20666666666668,220,7.0,78.744,39.872,190.076,10.239277000015136,0.1569981960032079,0.0263897375746691,0.2735677702684466,0.0089069899355414,0.2221514140395079,0.0347919827417977,0.0979817537186961,0.1322396149812628,0.007358997293029,0.0056870669638968,0.0076317552421825,0.0262947212377616,0.1582522571018342,0.0262097827566373,0.2730499037365271,0.0091241046842594,0.2219622139397923,0.0345225702598351,0.0980987548122752,0.1324410711823054,0.0073721186294753,0.0056153432672387,0.0077163848145927,0.0256354948152267
