n_trees,oob_mse,oob_rmse,oob_coverage,min_oob_count,mean_oob_count,max_oob_count,test_prediction_rmse_to_2000,test_prediction_max_abs_diff_to_2000,mdi_spearman_to_2000,mdi_top5_overlap_to_2000,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF,raw_sse_share_GrLivArea,raw_sse_share_LotArea,raw_sse_share_OverallQual,raw_sse_share_OverallCond,raw_sse_share_YearBuilt,raw_sse_share_YearRemodAdd,raw_sse_share_TotalBsmtSF,raw_sse_share_GarageArea,raw_sse_share_BedroomAbvGr,raw_sse_share_Fireplaces,raw_sse_share_WoodDeckSF,raw_sse_share_OpenPorchSF
50,1549.0379195428725,39.357819039459905,1.0,8,18.163333333333334,29,5.155107718969,18.331704482917758,0.9930069930069931,1.0,0.17394360219874372,0.037692046707310516,0.22515047779694475,0.014189150458270546,0.2411040233351164,0.040262249797860764,0.09916770860064858,0.11955480026634067,0.010316375486565818,0.006107286087704286,0.008389972504264093,0.024122306760229962,0.17664331549166948,0.036980314538152995,0.22687531425907026,0.014074270546569954,0.23686269488535402,0.0392843449775181,0.10131852105112779,0.11886658366402801,0.010178444962959837,0.006157138194400471,0.00882753370220322,0.023931523726945958
100,1503.9624568834745,38.780954821709514,1.0,23,36.43666666666667,49,3.6864910273493847,10.588529082623097,0.9930069930069931,1.0,0.17148042433279315,0.035572690651262104,0.2103899146996816,0.011939836315241537,0.25289074882897744,0.03738883727135598,0.09064497860912431,0.14387289750762947,0.009581245905676833,0.007042824987064026,0.0078116814963667906,0.02138391939482661,0.17263626653141126,0.03553397650462303,0.21031612799247515,0.011982920418552284,0.2511074331726809,0.03712534325523711,0.09186040404033499,0.14408616640598115,0.009395588211993133,0.007162672800184944,0.008038178290163836,0.02075492237636221
200,1480.5160485240374,38.477474560111624,1.0,53,73.23666666666666,97,2.9031248491005788,12.656191757872733,1.0,1.0,0.16141616708007892,0.032890277447389545,0.25198043310633594,0.012914350628390069,0.22058522139201162,0.042292105737164784,0.09630271614071582,0.13621659582617773,0.010548083573858641,0.006832376353726696,0.00864305741078408,0.01937861530336631,0.16214457274872976,0.032773186532008385,0.25065779603595595,0.013079026945788266,0.22004927866805804,0.0419338784796052,0.09741113643994923,0.13674801336530756,0.01055790792890411,0.006912017000607124,0.00870413992871865,0.019029045926367755
300,1463.1755797094447,38.25147813757587,1.0,86,109.73,134,2.3055334870351545,6.592733955083048,1.0,1.0,0.16174613781783526,0.03394594802397816,0.2538483023168653,0.01253850688542753,0.21791977908179788,0.038015096835668505,0.08951945595196126,0.1425126128641328,0.009925744924350628,0.006882654134053237,0.008208871883003793,0.024936889280925637,0.16215129043465282,0.03379422357399149,0.2529473701507632,0.012677622520552783,0.2182356809982938,0.03768538824267947,0.08989791336640478,0.14305891229875958,0.009905569036500797,0.006885670748184017,0.008260321894374006,0.024500036734843345
500,1424.5689118128669,37.743461841925246,1.0,157,183.20666666666668,220,1.5592913109526236,5.006982095497847,1.0,1.0,0.16096851987707347,0.03279134139279039,0.2681980428496689,0.01244052389206227,0.21566685393159055,0.0361256903523253,0.09754155558702547,0.12494917751694744,0.009127208519781008,0.006749751955737995,0.00808081951413568,0.027360514610861485,0.1616035155206162,0.032684540461065406,0.26768087140224994,0.012535652205651594,0.21555356000268666,0.036005261966881176,0.09794611642384253,0.12530227253513726,0.00911762685253101,0.006662780995049216,0.008084079808089846,0.02682372182619911
800,1426.7022544813237,37.77171235834197,1.0,263,293.03333333333336,340,1.1447551991308416,3.3535581613591603,1.0,1.0,0.1605626564750871,0.03234572572428727,0.2742212298422085,0.011581401127229747,0.20457873838826962,0.0362803122692066,0.10129321694854117,0.12829304215741189,0.009235601552491668,0.006443821917896313,0.008188950441066383,0.026975303156303723,0.1611045969095974,0.032220490398105185,0.2734425188834625,0.011656680606298226,0.20484331922408966,0.03629882748279105,0.10140309748768105,0.12854262549992188,0.009231138641542897,0.006379670417895614,0.008165014726412713,0.026712019722201982
1000,1426.9485009442321,37.77497188541948,1.0,327,366.34,420,0.902644055832286,2.679024372773938,1.0,1.0,0.16068927160741617,0.031269487833258225,0.28147619133278556,0.011315093183814207,0.2037882486286865,0.03544098517276103,0.09958198839080885,0.12693320312746803,0.009006346843962842,0.006605974041607234,0.008347143056546468,0.02554606678088485,0.16109723948563404,0.03115119329104851,0.28094802930730584,0.011401538323301881,0.20400050829771108,0.03542251492600808,0.09956934566128392,0.1271642886858197,0.008998885148953873,0.006608192925468818,0.008313694899364494,0.025324569048099536
1500,1420.8685498425616,37.69441006094354,1.0,505,550.53,611,0.5854943205358316,2.8343997243561034,1.0,1.0,0.1628152651791886,0.03036913780391899,0.27682485178670846,0.011578210336221337,0.20157861126330395,0.03530827946386921,0.10086237070436173,0.1319550582421881,0.008608530105854242,0.006495557076082831,0.008162713640202428,0.025441414398100128,0.16324525027222903,0.030329945426845722,0.2763943748902994,0.011627780153041728,0.20178485066305785,0.03532863356503208,0.10073154455413577,0.13212229637972223,0.00858327459047374,0.006470235359293232,0.008156013404832815,0.02522580074103638
2000,1420.806069908758,37.69358128261041,1.0,681,734.0733333333334,792,0.0,0.0,1.0,1.0,0.16261579377723487,0.030419207335213236,0.27838346083665694,0.011795809519410618,0.197818030257184,0.035688199800123124,0.09952460961679692,0.13562777464853387,0.00845308276204146,0.006383382268710726,0.007915938536576048,0.02537471064151826,0.16313921561902456,0.03043159629595288,0.2780786567343407,0.011854440694922782,0.1978652001720685,0.035906653226162266,0.09931901505730209,0.13550949499641365,0.008394976029964193,0.0063661567004630985,0.007925867589505649,0.025208726883879894
