mean_mse_rank,max_depth,min_samples_leaf,n_fits,mean_validation_mse,sd_validation_mse,validation_rmse_from_mean_mse,min_validation_mse,max_validation_mse,mean_training_fold_oob_mse,mdi_pairwise_spearman,top5_pairwise_overlap,mean_mdi_GrLivArea,mean_mdi_LotArea,mean_mdi_OverallQual,mean_mdi_OverallCond,mean_mdi_YearBuilt,mean_mdi_YearRemodAdd,mean_mdi_TotalBsmtSF,mean_mdi_GarageArea,mean_mdi_BedroomAbvGr,mean_mdi_Fireplaces,mean_mdi_WoodDeckSF,mean_mdi_OpenPorchSF,sd_mdi_GrLivArea,sd_mdi_LotArea,sd_mdi_OverallQual,sd_mdi_OverallCond,sd_mdi_YearBuilt,sd_mdi_YearRemodAdd,sd_mdi_TotalBsmtSF,sd_mdi_GarageArea,sd_mdi_BedroomAbvGr,sd_mdi_Fireplaces,sd_mdi_WoodDeckSF,sd_mdi_OpenPorchSF,within_0_25_percent,selected
1,8,1,30,1484.8497619170223,476.3641856763491,38.533748350206245,955.3404491981114,3239.1621165643005,1481.937958777758,0.9786833855799374,1.0,0.16067921913382327,0.032078739221480364,0.2730035511616497,0.012593344915894525,0.19433299494954667,0.03892324889407109,0.10521919318379493,0.13205708554560283,0.009205818596028086,0.007270575483637219,0.008814033731448147,0.025822195183022693,0.010009934738760076,0.0026101732822630844,0.016479484942553427,0.0018389013318137225,0.016158029918416344,0.005756228104644078,0.013461309887174389,0.0120105369216485,0.0013502253571533642,0.001253986618484098,0.0014293500467672166,0.0067921400867286584,True,True
2,8,2,30,1501.603480817391,491.38518144999944,38.750528781132665,956.6233684644236,3206.7924286430703,1494.335278882627,0.9775259223535088,1.0,0.15965937862763704,0.030454139942301374,0.27373783324133405,0.01160711260435618,0.19603957490198237,0.03896423621863105,0.10525535001522343,0.13335380076408127,0.00894014668847353,0.007354221135733978,0.008684412694734174,0.025949793165511093,0.010444904113164222,0.002870758606911518,0.016014748140882662,0.0016622909522225598,0.01636517703813818,0.005749690602754903,0.013922821571267363,0.012250758518202955,0.0011941531731409288,0.001244728630513103,0.0013849211575285394,0.007227022852344883,False,False
3,12,2,30,1502.642943710627,486.76123868594175,38.76393870223493,960.2142020351408,3221.536052162732,1494.6990532889208,0.9769471907402942,1.0,0.15974407988353728,0.031107743215462665,0.2727822433918605,0.012072808678529385,0.19461069812231846,0.03923531871244579,0.10573022050164124,0.1334610386568674,0.009076354805335085,0.007306368362950574,0.00892590239697752,0.025947223272073605,0.010730385463764109,0.0027236409848424557,0.01590654770582854,0.0018861304232981489,0.01602941369791863,0.006041571375635944,0.013440353528544217,0.011905098166308404,0.001260941424753209,0.0011974524760788908,0.0013614081190101402,0.006934213589311825,False,False
4,15,2,30,1504.7268972268578,483.31875560787944,38.790809442790156,965.1512410009548,3202.945164097854,1496.5744858243563,0.9776223776223777,1.0,0.1597622590721331,0.031174124075042258,0.2720668732592094,0.012115356592974896,0.19481370430609646,0.03928000926569474,0.10569089808946118,0.13375709387688073,0.00908010143652392,0.007287410191804224,0.008945355336121784,0.02602681449805682,0.010685414998449121,0.002960733731679617,0.016137351762688223,0.001866546054975947,0.01605627690369357,0.005829496141013309,0.013429714132090808,0.011694824955159297,0.0012571194413118678,0.0011746247903628314,0.001365936340688712,0.006993574330922505,False,False
5,12,3,30,1523.2022087925864,504.3497544478492,39.028223233867394,960.9517399677892,3283.907120148405,1508.337901183593,0.971208102242585,1.0,0.1593319223447182,0.02907050106752506,0.2748984191310525,0.010678230739438984,0.19787190235946941,0.03853393784792653,0.10571574662606933,0.13432069644100242,0.008514906710195176,0.007085832229477917,0.008404830912600114,0.025573073590523854,0.011034072341531486,0.0026911227090504045,0.016905721410363776,0.001734626065829409,0.01740989759576402,0.005445160941788154,0.013466607549262564,0.012609542082976866,0.001367025975564524,0.0012721572618204053,0.0014332511219899786,0.006831516350671816,False,False
6,15,3,30,1523.7851639254936,503.5931114437631,39.03569089852892,962.6708430784632,3273.141637182609,1509.1099011057352,0.9720118961498273,1.0,0.15940288049200707,0.029060545337291906,0.27479470943817924,0.010678982232897384,0.19783889733774113,0.03853864458437504,0.10580507913942207,0.13430422908986983,0.008524145274825893,0.007055282311621896,0.008430363669659243,0.025566241092108814,0.01108450296624288,0.0026443533634538537,0.016893677480639028,0.0017185731425099066,0.017582276267195492,0.0055355905570906435,0.013430583778438173,0.012695650494832999,0.0013469833994142755,0.001295860824277905,0.0014311782455562873,0.006850986470489265,False,False
7,7,5,30,1579.5976668594183,560.3865611703993,39.74415261216948,919.7466989373368,3511.8335008814074,1572.7474718963038,0.9627200385821076,1.0,0.15665571014016547,0.02545598087091498,0.28145749401385356,0.008304097144283996,0.20132690881635382,0.03720407953758516,0.10649927673255895,0.13730603476294725,0.007538909665277574,0.006682373916601837,0.0068978481889776,0.024671286210479346,0.011417194448751536,0.002806441538790454,0.016456306344331283,0.0012665695650795523,0.017661488993753215,0.0055586319680648,0.01468810743400296,0.013292657771779858,0.0014874477937023873,0.0013125319268773136,0.001363233840787191,0.007404852487074411,False,False
