tree_number,tree_seed,bootstrap_size,unique_inbag_rows,duplicate_draws,oob_rows,tree_depth,node_count,leaf_count,candidate_nodes,min_candidate_features,max_candidate_features
1155,666648746,300,175,125,125,8,175,88,95,4,4
1156,1644886727,300,198,102,102,8,201,101,104,4,4
1157,554052182,300,186,114,114,8,131,66,68,4,4
1158,1117630935,300,194,106,106,8,187,94,101,4,4
1159,1724910848,300,192,108,108,8,199,100,102,4,4
1160,1089730039,300,194,106,106,8,235,118,120,4,4
1161,1614776221,300,190,110,110,8,171,86,87,4,4
1162,737917598,300,189,111,111,8,199,100,105,4,4
1163,1196752901,300,193,107,107,8,207,104,107,4,4
1164,1089608550,300,185,115,115,8,219,110,114,4,4
1165,1365718306,300,189,111,111,8,199,100,105,4,4
1166,345930671,300,181,119,119,8,147,74,77,4,4
1167,1243204641,300,203,97,97,8,179,90,92,4,4
1168,1183804583,300,195,105,105,8,185,93,95,4,4
1169,338436348,300,195,105,105,8,213,107,114,4,4
1170,694140449,300,194,106,106,8,163,82,85,4,4
1171,821826334,300,193,107,107,8,189,95,99,4,4
1172,1988604000,300,197,103,103,8,177,89,93,4,4
1173,877968294,300,191,109,109,8,207,104,108,4,4
1174,333003966,300,189,111,111,8,217,109,112,4,4
1175,832314617,300,193,107,107,8,231,116,119,4,4
1176,33213354,300,189,111,111,8,205,103,108,4,4
1177,1576491512,300,195,105,105,8,203,102,110,4,4
1178,702646976,300,187,113,113,8,181,91,97,4,4
1179,966627286,300,194,106,106,8,175,88,92,4,4
1180,2106554728,300,187,113,113,8,203,102,108,4,4
1181,662559612,300,194,106,106,8,169,85,90,4,4
1182,2122424586,300,197,103,103,8,189,95,99,4,4
1183,471454821,300,191,109,109,8,231,116,120,4,4
1184,320482225,300,180,120,120,8,189,95,99,4,4
1185,1112985344,300,179,121,121,8,221,111,115,4,4
1186,1904262993,300,185,115,115,8,191,96,99,4,4
1187,40450220,300,183,117,117,8,185,93,96,4,4
1188,2123245518,300,186,114,114,8,179,90,95,4,4
1189,581480976,300,192,108,108,8,207,104,108,4,4
1190,1559770801,300,185,115,115,8,187,94,99,4,4
1191,1229207829,300,186,114,114,8,211,106,107,4,4
1192,600847748,300,181,119,119,8,213,107,112,4,4
1193,1207786610,300,187,113,113,8,205,103,106,4,4
1194,2083332323,300,180,120,120,8,223,112,121,4,4
1195,1360089286,300,191,109,109,8,187,94,97,4,4
1196,1924737694,300,188,112,112,8,167,84,87,4,4
1197,880898048,300,196,104,104,8,229,115,123,4,4
1198,232224905,300,192,108,108,8,203,102,103,4,4
1199,221152226,300,196,104,104,8,179,90,95,4,4
1200,1820540822,300,190,110,110,8,213,107,115,4,4
1201,944331750,300,195,105,105,8,195,98,100,4,4
1202,771995294,300,186,114,114,8,185,93,100,4,4
1203,521491186,300,199,101,101,8,207,104,107,4,4
1204,1981402956,300,182,118,118,8,175,88,92,4,4
1205,1064519563,300,187,113,113,8,217,109,114,4,4
1206,1098572860,300,190,110,110,8,157,79,82,4,4
1207,2001333166,300,194,106,106,8,209,105,108,4,4
1208,1505122672,300,196,104,104,8,161,81,86,4,4
1209,79535571,300,187,113,113,8,219,110,112,4,4
1210,936584753,300,190,110,110,8,193,97,101,4,4
1211,1191308031,300,190,110,110,8,165,83,88,4,4
1212,654170513,300,189,111,111,8,179,90,97,4,4
1213,1484653361,300,191,109,109,8,181,91,96,4,4
1214,260332704,300,193,107,107,8,189,95,99,4,4
1215,647439238,300,197,103,103,8,201,101,104,4,4
1216,206040383,300,192,108,108,8,201,101,105,4,4
1217,456983926,300,183,117,117,8,225,113,114,4,4
1218,1612487135,300,184,116,116,8,193,97,99,4,4
1219,1876441415,300,179,121,121,8,185,93,97,4,4
1220,815827636,300,188,112,112,8,177,89,92,4,4
1221,1857812133,300,195,105,105,8,205,103,107,4,4
1222,1639424819,300,192,108,108,8,181,91,96,4,4
1223,741979065,300,192,108,108,8,199,100,105,4,4
1224,137884354,300,191,109,109,8,193,97,102,4,4
1225,1856935872,300,189,111,111,8,181,91,93,4,4
1226,449381515,300,196,104,104,8,177,89,91,4,4
1227,5551959,300,189,111,111,8,169,85,87,4,4
1228,1960052724,300,186,114,114,8,167,84,90,4,4
1229,783606526,300,186,114,114,8,183,92,94,4,4
1230,318020996,300,186,114,114,8,175,88,90,4,4
1231,1789124884,300,184,116,116,8,185,93,98,4,4
1232,1670148520,300,184,116,116,8,189,95,100,4,4
1233,1949226437,300,178,122,122,8,205,103,112,4,4
1234,1535172018,300,189,111,111,8,211,106,115,4,4
1235,1179924145,300,190,110,110,8,217,109,112,4,4
1236,845535809,300,184,116,116,8,217,109,117,4,4
1237,1575840931,300,183,117,117,8,199,100,105,4,4
1238,208277441,300,200,100,100,8,229,115,120,4,4
1239,1998356739,300,191,109,109,8,221,111,116,4,4
1240,1903856393,300,190,110,110,8,225,113,118,4,4
1241,1128144515,300,185,115,115,8,213,107,111,4,4
1242,1751850116,300,199,101,101,8,205,103,107,4,4
1243,196871293,300,192,108,108,8,219,110,111,4,4
1244,283607317,300,187,113,113,8,227,114,117,4,4
1245,1085642051,300,183,117,117,8,193,97,101,4,4
1246,1109578385,300,186,114,114,8,211,106,109,4,4
1247,720540429,300,179,121,121,8,199,100,102,4,4
1248,2107925034,300,194,106,106,8,183,92,92,4,4
1249,217876886,300,194,106,106,8,195,98,99,4,4
1250,1976490696,300,193,107,107,8,187,94,97,4,4
1251,2032214656,300,187,113,113,8,181,91,94,4,4
1252,921430490,300,192,108,108,8,193,97,100,4,4
1253,2098121926,300,200,100,100,8,173,87,92,4,4
1254,328783219,300,179,121,121,8,207,104,110,4,4
1255,410488875,300,182,118,118,8,205,103,108,4,4
1256,867430899,300,190,110,110,8,205,103,111,4,4
1257,1873486234,300,200,100,100,8,223,112,120,4,4
1258,1159555860,300,192,108,108,8,159,80,85,4,4
1259,397140802,300,189,111,111,8,225,113,113,4,4
1260,700489209,300,182,118,118,8,169,85,88,4,4
1261,1160185770,300,185,115,115,8,203,102,106,4,4
1262,1848771038,300,187,113,113,8,181,91,98,4,4
1263,1494236080,300,193,107,107,8,195,98,101,4,4
1264,1975194012,300,192,108,108,8,205,103,109,4,4
1265,2130601408,300,192,108,108,8,207,104,107,4,4
1266,1682045477,300,186,114,114,8,197,99,103,4,4
1267,999711555,300,189,111,111,8,211,106,110,4,4
1268,518851925,300,188,112,112,8,185,93,96,4,4
1269,231709564,300,200,100,100,8,223,112,115,4,4
1270,445847952,300,197,103,103,8,179,90,94,4,4
1271,1515601584,300,189,111,111,8,205,103,108,4,4
1272,957539290,300,173,127,127,8,199,100,103,4,4
1273,1346584944,300,185,115,115,8,229,115,117,4,4
1274,1242824501,300,188,112,112,8,223,112,113,4,4
1275,384766118,300,202,98,98,8,165,83,87,4,4
1276,846929208,300,188,112,112,8,179,90,93,4,4
1277,1157962374,300,181,119,119,8,205,103,104,4,4
1278,1993018206,300,193,107,107,8,187,94,100,4,4
1279,442651434,300,198,102,102,8,181,91,92,4,4
1280,669449513,300,193,107,107,8,213,107,111,4,4
1281,1293435535,300,196,104,104,8,203,102,105,4,4
1282,1637871069,300,183,117,117,8,191,96,100,4,4
1283,37501000,300,187,113,113,8,193,97,101,4,4
1284,1540255715,300,194,106,106,8,233,117,121,4,4
1285,251386518,300,188,112,112,8,191,96,99,4,4
1286,593453475,300,194,106,106,8,181,91,94,4,4
1287,925687794,300,194,106,106,8,171,86,89,4,4
1288,1075967870,300,196,104,104,8,167,84,89,4,4
1289,412660468,300,194,106,106,8,231,116,123,4,4
1290,1506551226,300,193,107,107,8,175,88,89,4,4
1291,2087656361,300,194,106,106,8,149,75,77,4,4
1292,1474555237,300,189,111,111,8,231,116,119,4,4
1293,1311455231,300,177,123,123,8,185,93,95,4,4
1294,1786522658,300,190,110,110,8,201,101,107,4,4
1295,1510724657,300,193,107,107,8,175,88,92,4,4
1296,2116818904,300,179,121,121,8,175,88,95,4,4
1297,72719965,300,187,113,113,8,211,106,112,4,4
1298,66683303,300,187,113,113,8,189,95,97,4,4
1299,384060444,300,191,109,109,8,199,100,105,4,4
1300,991934070,300,197,103,103,8,221,111,114,4,4
1301,131921083,300,190,110,110,8,201,101,103,4,4
1302,248290523,300,191,109,109,8,185,93,100,4,4
1303,2140891849,300,186,114,114,8,201,101,104,4,4
1304,468171312,300,186,114,114,8,171,86,88,4,4
1305,1464784646,300,187,113,113,8,175,88,90,4,4
1306,1637107025,300,185,115,115,8,237,119,123,4,4
1307,1431706839,300,186,114,114,8,189,95,97,4,4
1308,1426226979,300,188,112,112,8,193,97,100,4,4
1309,196597349,300,186,114,114,8,215,108,112,4,4
1310,780216855,300,183,117,117,8,195,98,99,4,4
1311,1399878367,300,192,108,108,8,217,109,112,4,4
1312,1315687122,300,195,105,105,8,173,87,91,4,4
1313,336934445,300,196,104,104,8,181,91,93,4,4
1314,261114346,300,185,115,115,8,227,114,117,4,4
1315,784797029,300,182,118,118,8,175,88,89,4,4
1316,2063955454,300,195,105,105,8,231,116,122,4,4
1317,813525037,300,186,114,114,8,187,94,99,4,4
1318,936512687,300,187,113,113,8,195,98,100,4,4
1319,828711146,300,189,111,111,8,155,78,77,4,4
1320,1141103605,300,195,105,105,8,213,107,110,4,4
1321,1435766946,300,181,119,119,8,193,97,100,4,4
1322,47471607,300,186,114,114,8,177,89,94,4,4
