model,family,degree,penalty,C,log_loss_mean,log_loss_sd,auc_mean,auc_sd,accuracy_mean,f1_mean
ridge_poly6_C10,sklearn_regularized,6,l2,10,0.9078460639048762,0.2911395655945828,0.7458664389003654,0.0638720007320388,0.6876666666666666,0.6716848487271458
lasso_poly5_C10,sklearn_regularized,5,l1,10,1.0234539350682075,0.32214490579894095,0.7459843526537422,0.06234422545991468,0.6890000000000001,0.6747494377707095
ridge_poly5_C30,sklearn_regularized,5,l2,30,1.0335694715428645,0.3443583525478897,0.7432562718496744,0.06472358596647275,0.6913333333333332,0.6754016699700138
ridge_poly6_C30,sklearn_regularized,6,l2,30,1.1304384645971013,0.4284356969316712,0.7335374001867154,0.06439182741123493,0.6759999999999999,0.6561772392882623
lasso_poly6_C10,sklearn_regularized,6,l1,10,1.2028091035217567,0.44031631385721537,0.7270243102455108,0.06167520988604378,0.6759999999999999,0.6570275044477633
ridge_poly5_C100,sklearn_regularized,5,l2,100,1.3160254038813446,0.492489661660022,0.728028613141586,0.06834471162294296,0.68,0.6622640735016703
lasso_poly5_C30,sklearn_regularized,5,l1,30,1.441557872327283,0.5818004174822152,0.7264319978547593,0.06863045603004636,0.6773333333333333,0.6602443999152914
ridge_poly6_C100,sklearn_regularized,6,l2,100,1.5054240874678928,0.6126586854087909,0.7205173655251867,0.06258875915646432,0.664,0.6403209385288686
lasso_poly5_C100,sklearn_regularized,5,l1,100,1.78441768268687,0.7601316332147389,0.7135989765413951,0.07196499828498912,0.6653333333333333,0.6461243229696767
lasso_poly6_C30,sklearn_regularized,6,l1,30,1.9384639977963518,0.7029300198384865,0.7065665595701573,0.059162606144541115,0.6516666666666667,0.6275420664123783
lasso_poly6_C100,sklearn_regularized,6,l1,100,2.8166215044838565,0.8750508503489973,0.6961045879350071,0.05662666886262928,0.6383333333333333,0.6141616363851682
