model,validation,log_loss,auc,accuracy,f1,aic_train_fit
no_intercept,single_split,0.506323264864753,0.8258287976249381,0.7333333333333333,0.7333333333333333,234.87721002104257
with_intercept,single_split,0.5078729137910067,0.8228599703117269,0.7222222222222222,0.7191011235955056,236.8416432485124
