model,optional_terms,n_optional_terms,fold,log_loss,auc,accuracy,f1
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,6,0.5806253602019277,0.7734375000000001,0.7,0.7
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,6,0.5709021074864778,0.7767857142857142,0.6833333333333333,0.6885245901639344
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,6,0.6312014599200072,0.7042410714285714,0.6833333333333333,0.7076923076923077
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,6,0.6138169192274695,0.7689732142857143,0.7,0.7096774193548387
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,6,0.6092594198019502,0.7767857142857143,0.6833333333333333,0.6984126984126984
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,6,0.5788134078891027,0.7689732142857142,0.7333333333333333,0.7333333333333333
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,6,0.6427688139802084,0.703125,0.6333333333333333,0.6333333333333333
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,6,0.6272791225616683,0.7700892857142857,0.7,0.7096774193548387
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,6,0.6232622886911088,0.7700892857142858,0.6833333333333333,0.6984126984126984
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,6,0.5940605833474281,0.7678571428571429,0.7,0.7
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,6,0.629698473730173,0.765625,0.7,0.7096774193548387
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,6,0.6310889679579899,0.7064732142857143,0.6833333333333333,0.7076923076923077
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,6,0.6121553239309763,0.7678571428571429,0.7,0.7096774193548387
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,6,0.6079818886515629,0.78125,0.7,0.71875
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,6,0.5770767059077195,0.7667410714285714,0.7333333333333333,0.7333333333333333
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,6,0.6158578280277661,0.7767857142857144,0.7,0.7096774193548387
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,6,0.6292155988222425,0.765625,0.7,0.7096774193548387
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,6,0.6145051105630566,0.7756696428571428,0.7166666666666667,0.7301587301587301
main effects only,none,0,7,0.6811696466317757,0.671875,0.6166666666666667,0.5490196078431373
main + x1_sq,x1_sq,1,7,0.6566843270864163,0.6696428571428572,0.6666666666666666,0.6296296296296297
main + x2_sq,x2_sq,1,7,0.6808505852656356,0.671875,0.6166666666666667,0.5490196078431373
main + x3_sq,x3_sq,1,7,0.7001553470607085,0.6618303571428571,0.6666666666666666,0.6296296296296297
main + x1_x2,x1_x2,1,7,0.679582954227119,0.6707589285714286,0.6166666666666667,0.5490196078431373
main + x1_x3,x1_x3,1,7,0.6757830320632826,0.6796875,0.6166666666666667,0.5490196078431373
main + x2_x3,x2_x3,1,7,0.6135142524270784,0.7488839285714286,0.7333333333333333,0.6923076923076923
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,7,0.6562917871198644,0.6707589285714286,0.6666666666666666,0.6296296296296297
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,7,0.6758674002445165,0.6618303571428572,0.6666666666666666,0.6296296296296297
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,7,0.6535745833910812,0.6685267857142857,0.6666666666666666,0.6296296296296297
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,7,0.6529949304932214,0.6785714285714286,0.65,0.6037735849056604
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,7,0.5842566915908366,0.7823660714285714,0.75,0.7169811320754716
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,7,0.700987762405775,0.6607142857142857,0.6666666666666666,0.6296296296296297
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,7,0.6794291204798775,0.6729910714285714,0.6166666666666667,0.5490196078431373
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,7,0.6753434617280296,0.6808035714285714,0.6166666666666667,0.5490196078431373
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,7,0.6144543674116508,0.7455357142857143,0.7166666666666667,0.6666666666666666
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,7,0.700498678562697,0.6618303571428571,0.6666666666666666,0.6296296296296297
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,7,0.698633913139409,0.6573660714285714,0.6666666666666666,0.6296296296296297
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,7,0.6099251678445908,0.7455357142857142,0.7166666666666667,0.6666666666666666
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,7,0.6726867056248339,0.6863839285714286,0.6166666666666667,0.5490196078431373
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,7,0.6093819220319692,0.7589285714285714,0.7333333333333333,0.68
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,7,0.6108092798324128,0.7555803571428572,0.7333333333333333,0.6923076923076923
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,7,0.6766491549043997,0.6618303571428572,0.6666666666666666,0.6296296296296297
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,7,0.6534054607938483,0.6707589285714286,0.6666666666666666,0.6296296296296297
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,7,0.6525082225957385,0.6774553571428572,0.65,0.6037735849056604
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,7,0.5829269186400741,0.7801339285714286,0.7166666666666667,0.6792452830188679
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,7,0.6744701500060282,0.6640625,0.6666666666666666,0.6296296296296297
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,7,0.6771632271623553,0.6573660714285714,0.6666666666666666,0.6428571428571429
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,7,0.5787660182052269,0.7823660714285714,0.7333333333333333,0.7037037037037037
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,7,0.6467693156318327,0.6819196428571429,0.6666666666666666,0.6296296296296297
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,7,0.5826980234257169,0.7845982142857143,0.75,0.7169811320754716
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,7,0.582356672220415,0.7857142857142857,0.7333333333333333,0.6923076923076923
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,7,0.7011188216994415,0.6607142857142857,0.6666666666666666,0.6296296296296297
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,7,0.6994635201265538,0.6540178571428571,0.6666666666666666,0.6296296296296297
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,7,0.6105039176322047,0.7455357142857142,0.7166666666666667,0.6666666666666666
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,7,0.6725155337942399,0.6863839285714286,0.6166666666666667,0.5490196078431373
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,7,0.6094616557212498,0.7555803571428572,0.7166666666666667,0.6666666666666666
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,7,0.6113029026900392,0.7511160714285714,0.7166666666666667,0.6666666666666666
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,7,0.6968497248241882,0.6573660714285714,0.6666666666666666,0.6296296296296297
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,7,0.6057119076248633,0.7589285714285713,0.7,0.6538461538461539
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,7,0.6075707885540473,0.7488839285714285,0.7166666666666667,0.6666666666666666
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,7,0.6075237754008251,0.7566964285714285,0.7333333333333333,0.68
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,7,0.6751500410253818,0.6629464285714286,0.6666666666666666,0.6296296296296297
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,7,0.6779704309895487,0.6595982142857142,0.6666666666666666,0.6428571428571429
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,7,0.5778007501575128,0.7767857142857142,0.6666666666666666,0.6296296296296297
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,7,0.6466466699047013,0.6819196428571429,0.6666666666666666,0.6296296296296297
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,7,0.5802671444150864,0.7857142857142857,0.75,0.7169811320754716
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,7,0.5805687521268532,0.78125,0.7333333333333333,0.6923076923076923
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,7,0.6718216883891975,0.6618303571428572,0.6666666666666666,0.6428571428571429
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,7,0.5769848449364078,0.7845982142857142,0.75,0.7169811320754716
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,7,0.5785335150246163,0.7756696428571428,0.7333333333333333,0.6923076923076923
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,7,0.5824568863091499,0.7890625000000001,0.7333333333333333,0.6923076923076923
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,7,0.6976529818108993,0.65625,0.6666666666666666,0.6296296296296297
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,7,0.6058297995047023,0.7544642857142856,0.7,0.6538461538461539
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,7,0.6076881506273487,0.7511160714285714,0.7166666666666667,0.6666666666666666
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,7,0.6067023134710199,0.7544642857142857,0.7333333333333333,0.68
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,7,0.6042829066672325,0.7533482142857144,0.7333333333333333,0.68
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,7,0.6727966565523625,0.6607142857142857,0.6666666666666666,0.6428571428571429
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,7,0.5755291882027392,0.7868303571428571,0.7166666666666667,0.6666666666666666
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,7,0.5771407463675359,0.7756696428571429,0.7166666666666667,0.6666666666666666
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,7,0.5795560608831866,0.7957589285714285,0.7333333333333333,0.6923076923076923
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,7,0.5788191569250408,0.7767857142857143,0.7666666666666667,0.72
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,7,0.6038193267320985,0.7544642857142857,0.7333333333333333,0.68
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,7,0.5774054360807865,0.7779017857142857,0.75,0.6938775510204082
main effects only,none,0,8,0.629700209484547,0.6685267857142858,0.6166666666666667,0.5818181818181818
main + x1_sq,x1_sq,1,8,0.6798415885191117,0.5747767857142857,0.5333333333333333,0.5483870967741935
main + x2_sq,x2_sq,1,8,0.6291424414061608,0.6674107142857143,0.6166666666666667,0.5818181818181818
main + x3_sq,x3_sq,1,8,0.6303023861448248,0.6674107142857143,0.6166666666666667,0.5818181818181818
main + x1_x2,x1_x2,1,8,0.6374042766702345,0.6607142857142857,0.6166666666666667,0.5818181818181818
main + x1_x3,x1_x3,1,8,0.6187980394927095,0.6875,0.6166666666666667,0.5818181818181818
main + x2_x3,x2_x3,1,8,0.47918139228887513,0.8426339285714286,0.7166666666666667,0.6792452830188679
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,8,0.6788508305393444,0.5758928571428572,0.5166666666666667,0.5245901639344263
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,8,0.6787021532114692,0.5736607142857143,0.5333333333333333,0.5483870967741935
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,8,0.6780752940133027,0.5669642857142857,0.55,0.5714285714285714
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,8,0.6759080688606472,0.6272321428571429,0.5166666666666667,0.5245901639344263
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,8,0.5030752727456449,0.828125,0.6833333333333333,0.6666666666666666
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,8,0.6300317154342666,0.6662946428571428,0.6166666666666667,0.5818181818181818
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,8,0.636984453936183,0.6618303571428571,0.6166666666666667,0.5818181818181818
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,8,0.6179762722903425,0.6875,0.6166666666666667,0.5818181818181818
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,8,0.4777586098672627,0.8426339285714286,0.7666666666666667,0.7307692307692307
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,8,0.6399316303389478,0.65625,0.6333333333333333,0.5925925925925926
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,8,0.6154716434428451,0.6886160714285714,0.6166666666666667,0.5818181818181818
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,8,0.46701528720726126,0.8537946428571429,0.7666666666666667,0.72
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,8,0.6252968925997178,0.6875,0.6333333333333333,0.5925925925925926
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,8,0.4810561996047316,0.8459821428571429,0.75,0.7169811320754716
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,8,0.4745553907133111,0.84375,0.75,0.7058823529411765
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,8,0.6780143392310366,0.5770089285714286,0.5333333333333333,0.5483870967741935
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,8,0.6771599910786537,0.5680803571428571,0.5166666666666667,0.5245901639344263
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,8,0.6748253895150804,0.6261160714285714,0.5166666666666667,0.5245901639344263
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,8,0.49997573333483625,0.8225446428571429,0.6666666666666666,0.6428571428571429
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,8,0.6785921241821721,0.5647321428571429,0.55,0.5714285714285714
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,8,0.6701914363469997,0.6573660714285715,0.5666666666666667,0.5806451612903226
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,8,0.48993368370437707,0.8404017857142857,0.7166666666666667,0.7017543859649122
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,8,0.6720817643007694,0.6127232142857143,0.55,0.5714285714285714
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,8,0.5015124368479876,0.8247767857142858,0.7,0.6896551724137931
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,8,0.49918098869037913,0.8292410714285714,0.6833333333333333,0.6666666666666666
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,8,0.6395899826578518,0.6584821428571428,0.6333333333333333,0.5925925925925926
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,8,0.6149618050476694,0.6930803571428571,0.6166666666666667,0.5818181818181818
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,8,0.4673836367414412,0.8493303571428572,0.7833333333333333,0.7450980392156863
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,8,0.6245842793223777,0.6886160714285714,0.6333333333333333,0.5925925925925926
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,8,0.479791655764651,0.8470982142857143,0.75,0.7169811320754716
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,8,0.47277355827758866,0.8448660714285714,0.75,0.7058823529411765
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,8,0.6239537445163396,0.6886160714285714,0.6333333333333333,0.5925925925925926
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,8,0.4697123060485212,0.8515625,0.7833333333333333,0.7450980392156863
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,8,0.46008145864790895,0.859375,0.7666666666666667,0.72
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,8,0.47547827078353877,0.8493303571428572,0.7666666666666667,0.7307692307692307
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,8,0.677834196508946,0.5680803571428572,0.5166666666666667,0.5245901639344263
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,8,0.6694285497528263,0.6629464285714286,0.5333333333333333,0.5333333333333333
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,8,0.4894002481297424,0.8348214285714286,0.7,0.6785714285714286
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,8,0.6709274797223689,0.6205357142857142,0.5333333333333333,0.5483870967741935
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,8,0.49821413530956077,0.8270089285714285,0.6833333333333333,0.6666666666666666
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,8,0.49589435834751233,0.8236607142857143,0.6666666666666666,0.6428571428571429
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,8,0.6677835084956306,0.6417410714285714,0.5833333333333334,0.6031746031746031
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,8,0.4893621420935267,0.8392857142857143,0.7333333333333333,0.7241379310344828
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,8,0.48454992045884054,0.8515625,0.7333333333333333,0.7142857142857143
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,8,0.4955206119089384,0.8370535714285714,0.6666666666666666,0.6428571428571429
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,8,0.6233683795516978,0.6908482142857143,0.6333333333333333,0.5925925925925926
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,8,0.46985584968402067,0.8493303571428572,0.7833333333333333,0.7450980392156863
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,8,0.46037624203954064,0.8582589285714286,0.7666666666666667,0.72
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,8,0.47404347334002933,0.8482142857142857,0.7666666666666667,0.7307692307692307
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,8,0.4612827637031019,0.8571428571428572,0.7833333333333333,0.7450980392156863
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,8,0.6668395365794403,0.6462053571428572,0.5666666666666667,0.5806451612903226
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,8,0.48817438319229073,0.8392857142857143,0.7166666666666667,0.7017543859649122
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,8,0.48406522983928607,0.8448660714285714,0.7333333333333333,0.7037037037037037
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,8,0.492341021376869,0.8337053571428572,0.6833333333333333,0.6666666666666666
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,8,0.48106005734241136,0.8560267857142857,0.7333333333333333,0.7142857142857143
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,8,0.4615350662227102,0.8571428571428572,0.7833333333333333,0.7450980392156863
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,8,0.4802688758963223,0.8504464285714286,0.7333333333333333,0.7142857142857143
main effects only,none,0,9,0.6009711849725915,0.7641824249165741,0.6833333333333333,0.6545454545454545
main + x1_sq,x1_sq,1,9,0.5915572149031022,0.7552836484983315,0.7166666666666667,0.7017543859649122
main + x2_sq,x2_sq,1,9,0.6030940620160394,0.7541713014460512,0.6833333333333333,0.6545454545454545
main + x3_sq,x3_sq,1,9,0.604887263958355,0.7497219132369298,0.7,0.6666666666666666
main + x1_x2,x1_x2,1,9,0.5993059399248932,0.7630700778642936,0.6833333333333333,0.6545454545454545
main + x1_x3,x1_x3,1,9,0.5985233610521533,0.7730812013348165,0.6833333333333333,0.6545454545454545
main + x2_x3,x2_x3,1,9,0.5601998962964009,0.7630700778642936,0.6833333333333333,0.6885245901639344
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,9,0.5928477199847241,0.7497219132369299,0.7,0.6785714285714286
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,9,0.5947684400233723,0.7497219132369299,0.7,0.6785714285714286
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,9,0.589356103798562,0.7597330367074527,0.7166666666666667,0.7017543859649122
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,9,0.5917736691280251,0.7697441601779755,0.7,0.6785714285714286
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,9,0.5520652200468096,0.7686318131256952,0.6666666666666666,0.6666666666666666
main + x2_sq + x3_sq,"x2_sq, x3_sq",2,9,0.6078430330561118,0.7441601779755284,0.7,0.6666666666666666
main + x2_sq + x1_x2,"x2_sq, x1_x2",2,9,0.6013841579644111,0.7575083426028921,0.6833333333333333,0.6545454545454545
main + x2_sq + x1_x3,"x2_sq, x1_x3",2,9,0.6002959001342146,0.7686318131256953,0.6833333333333333,0.6545454545454545
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,9,0.5744448250651273,0.7586206896551724,0.65,0.6440677966101694
main + x3_sq + x1_x2,"x3_sq, x1_x2",2,9,0.604026043309398,0.7508342602892102,0.7,0.6666666666666666
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,9,0.6018848670519666,0.7608453837597331,0.7166666666666667,0.6792452830188679
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,9,0.5492441185708243,0.7730812013348164,0.6833333333333333,0.6779661016949152
main + x1_x2 + x1_x3,"x1_x2, x1_x3",2,9,0.5956205945324483,0.7686318131256953,0.6833333333333333,0.6545454545454545
main + x1_x2 + x2_x3,"x1_x2, x2_x3",2,9,0.5548842156957569,0.7697441601779755,0.6666666666666666,0.6774193548387096
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,9,0.5604876588880219,0.7664071190211346,0.6666666666666666,0.6666666666666666
main + x1_sq + x2_sq + x3_sq,"x1_sq, x2_sq, x3_sq",3,9,0.596962477840913,0.7452725250278086,0.7,0.6785714285714286
main + x1_sq + x2_sq + x1_x2,"x1_sq, x2_sq, x1_x2",3,9,0.5904994618154314,0.7519466073414907,0.7,0.6785714285714286
main + x1_sq + x2_sq + x1_x3,"x1_sq, x2_sq, x1_x3",3,9,0.5926681293298508,0.7664071190211346,0.7,0.6785714285714286
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,9,0.557730566286686,0.7664071190211346,0.6666666666666666,0.6666666666666666
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,9,0.5930822409401391,0.7530589543937709,0.7,0.6785714285714286
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,9,0.5945767346988391,0.7708565072302558,0.7166666666666667,0.7017543859649122
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,9,0.5407629707506507,0.7819799777530589,0.7333333333333333,0.7241379310344828
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,9,0.587902757266256,0.7741935483870968,0.7166666666666667,0.7017543859649122
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,9,0.5476077594079561,0.7741935483870968,0.7,0.6896551724137931
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,9,0.5558057246654007,0.7719688542825361,0.6666666666666666,0.6774193548387096
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,9,0.6069089977648686,0.743047830923248,0.7,0.6666666666666666
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,9,0.6045163771257965,0.7563959955506118,0.7166666666666667,0.6792452830188679
