cv_seed,fold,model,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,inner_selected_log_loss,selected_parameters
0,1,raw_l2,0.34849678547587293,0.10578619104625474,0.8082788671023965,0.15757270330987722,0.15,0.37805078344446236,"{""logistic__C"": 0.1}"
0,1,domain_log_l2,0.37524083701855215,0.11325365779757983,0.7516339869281046,0.15233489260509073,0.15,0.38152744295424423,"{""logistic__C"": 0.03162277660168379}"
0,1,raw_l1,0.3680470647141493,0.11120337761784077,0.7363834422657952,0.16501532283349715,0.15,0.38948856133935356,"{""logistic__C"": 0.31622776601683794}"
0,1,ordinal_onehot_l2,0.39774544729278727,0.12691287290603248,0.7320261437908497,0.15899769704371852,0.15,0.387611772427575,"{""logistic__C"": 0.31622776601683794}"
0,1,quadratic_l2,0.35656828249272815,0.10803822277469534,0.7777777777777778,0.15466732697427935,0.15,0.37590536009328174,"{""logistic__C"": 0.01}"
0,1,spline_degree2_l2,0.3696283889067147,0.11217439164217431,0.7908496732026142,0.14909436146880406,0.15,0.38167191667713013,"{""logistic__C"": 0.01}"
0,1,spline_degree3_l2,0.3779899823395168,0.11494790195911278,0.7494553376906318,0.15042406431777247,0.15,0.37935367791870267,"{""logistic__C"": 0.01}"
0,2,raw_l2,0.2970524027050774,0.08429041010869565,0.8507625272331154,0.1762471605212746,0.15,0.39263225522831285,"{""logistic__C"": 0.1}"
0,2,domain_log_l2,0.3016535799433023,0.0839792037187138,0.8703703703703703,0.1775032789760579,0.15,0.40529847247144624,"{""logistic__C"": 0.03162277660168379}"
0,2,raw_l1,0.31340987197877546,0.08845542263426794,0.8028322440087146,0.1880436652729265,0.15,0.4082493160891418,"{""logistic__C"": 0.31622776601683794}"
0,2,ordinal_onehot_l2,0.33077482245867457,0.10043351666432478,0.855119825708061,0.14799402432176795,0.15,0.41902632098205056,"{""logistic__C"": 0.1}"
0,2,quadratic_l2,0.30568195487263555,0.08655187579832667,0.8376906318082789,0.1737374910486636,0.15,0.3904393886504324,"{""logistic__C"": 0.01}"
0,2,spline_degree2_l2,0.2896740898524012,0.08191145078940479,0.855119825708061,0.17234850428243773,0.15,0.39792723838335997,"{""logistic__C"": 0.03162277660168379}"
0,2,spline_degree3_l2,0.2896141197826592,0.08226674481627734,0.8551198257080609,0.1711824479869014,0.15,0.40383561147473357,"{""logistic__C"": 0.03162277660168379}"
0,3,raw_l2,0.39583156896666977,0.12267784949842962,0.7516339869281046,0.08235077060537813,0.15,0.3543603020043629,"{""logistic__C"": 0.31622776601683794}"
0,3,domain_log_l2,0.40145663784005087,0.12563530143095142,0.7254901960784313,0.11092667669248821,0.15,0.3687095800618104,"{""logistic__C"": 0.1}"
0,3,raw_l1,0.4029491897784759,0.12524866079132804,0.7080610021786492,0.1068918580577292,0.15,0.3665265384052927,"{""logistic__C"": 0.31622776601683794}"
0,3,ordinal_onehot_l2,0.40248758259402423,0.12366053841551444,0.710239651416122,0.1025024433594248,0.15,0.3773325282852583,"{""logistic__C"": 0.31622776601683794}"
0,3,quadratic_l2,0.4007574418720013,0.12496038427007045,0.7494553376906318,0.08463127057828879,0.15,0.3473697613605089,"{""logistic__C"": 0.03162277660168379}"
0,3,spline_degree2_l2,0.42833767731090894,0.13098461630740083,0.6971677559912854,0.08765057358962655,0.15,0.3505267696103749,"{""logistic__C"": 0.1}"
0,3,spline_degree3_l2,0.4309558402310516,0.13367107668130704,0.7167755991285403,0.08916465962881868,0.15,0.34098923630515376,"{""logistic__C"": 0.1}"
0,4,raw_l2,0.3928250319170103,0.12130999632692306,0.724,0.16614802199181103,0.16666666666666666,0.38193728242336034,"{""logistic__C"": 0.1}"
0,4,domain_log_l2,0.38510571436553265,0.11922829853834084,0.778,0.17365015052115004,0.16666666666666666,0.38068164181124947,"{""logistic__C"": 0.1}"
0,4,raw_l1,0.3985689974410034,0.12397484829618202,0.7220000000000001,0.17850765469315336,0.16666666666666666,0.40139197109423275,"{""logistic__C"": 0.31622776601683794}"
0,4,ordinal_onehot_l2,0.4129424462416884,0.12905207134468463,0.7100000000000001,0.19053788678895967,0.16666666666666666,0.40255986118221215,"{""logistic__C"": 0.31622776601683794}"
0,4,quadratic_l2,0.38801133471804544,0.12093300459840131,0.746,0.1694686091462697,0.16666666666666666,0.38071282810417123,"{""logistic__C"": 0.01}"
0,4,spline_degree2_l2,0.3928885062528783,0.1217113638636209,0.732,0.17362675210479633,0.16666666666666666,0.3785860746615562,"{""logistic__C"": 0.03162277660168379}"
0,4,spline_degree3_l2,0.38251901480008266,0.1176553908089514,0.762,0.16733221653434674,0.16666666666666666,0.38067683823907017,"{""logistic__C"": 0.03162277660168379}"
0,5,raw_l2,0.40534430211548916,0.12261721827592109,0.641,0.16359258909713623,0.16666666666666666,0.3587480957828918,"{""logistic__C"": 0.1}"
0,5,domain_log_l2,0.4824308800662421,0.13363597382975087,0.5210000000000001,0.1593211161447556,0.16666666666666666,0.3516901405649052,"{""logistic__C"": 0.31622776601683794}"
0,5,raw_l1,0.43162709483461564,0.12826635022248936,0.619,0.16902575439204653,0.16666666666666666,0.371684916489637,"{""logistic__C"": 1.0}"
0,5,ordinal_onehot_l2,0.3984601044625597,0.12645875714232566,0.735,0.16144700722870783,0.16666666666666666,0.39534226243988063,"{""logistic__C"": 0.31622776601683794}"
0,5,quadratic_l2,0.4113504248750532,0.12496374896710344,0.635,0.171022287026872,0.16666666666666666,0.36032322188021565,"{""logistic__C"": 0.03162277660168379}"
