model,cv_seed,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence
balanced_logistic,0,0.535625033228267,0.18400975734317399,0.7440921705491548,0.3776273874496879,0.15666666666666668
balanced_logistic,42,0.562453433820995,0.19428085722350935,0.7455218232276511,0.39410981832737346,0.15666666666666668
balanced_logistic,2026,0.5555479027358831,0.18868728617573538,0.755150954503406,0.38804750834021373,0.15666666666666668
balanced_logistic,9618,0.5445561924030011,0.18740893276246942,0.7451013371457404,0.3846852178960675,0.15666666666666668
balanced_logistic,19618,0.5630984903757575,0.19035723857411974,0.7647380371709696,0.39211799808306147,0.15666666666666668
balanced_logistic,31415,0.539671233594293,0.1834813561538125,0.7707089395341014,0.38695888390158006,0.15666666666666668
blend_raw_l2_rf,0,0.36558931804190603,0.11108890483153933,0.7516609200235472,0.1544388044853532,0.15666666666666668
blend_raw_l2_rf,42,0.3672325859768972,0.11179275672633054,0.7468673786897654,0.15975685621412183,0.15666666666666668
blend_raw_l2_rf,2026,0.36376206597057975,0.11158078334782298,0.76002859305357,0.15850450554707562,0.15666666666666668
blend_raw_l2_rf,9618,0.3579964341905413,0.10918046972075049,0.763855016398957,0.15610748940607674,0.15666666666666668
blend_raw_l2_rf,19618,0.3576030055126643,0.10940702129909655,0.7818097720965436,0.1616024276046569,0.15666666666666668
blend_raw_l2_rf,31415,0.36412636245757646,0.11088352085104304,0.7607854680010091,0.1596054302495539,0.15666666666666668
constant_prevalence,0,0.43424312276845806,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
constant_prevalence,42,0.43424312276845806,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
constant_prevalence,2026,0.43424312276845817,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
constant_prevalence,9618,0.43424312276845806,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
constant_prevalence,19618,0.43424312276845817,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
constant_prevalence,31415,0.43424312276845806,0.13215972222222225,0.48486250105121526,0.15666666666666668,0.15666666666666668
domain_log_l2,0,0.389177529846736,0.11514648706306735,0.6950634933983686,0.1547472229879085,0.15666666666666668
domain_log_l2,42,0.378377916985542,0.11453609389290688,0.7238247414010596,0.15807016229621554,0.15666666666666668
domain_log_l2,2026,0.36608434407847423,0.11088585988077986,0.7421158859641745,0.15341296496993115,0.15666666666666668
domain_log_l2,9618,0.37238092787531896,0.11210332327716893,0.7280296022201665,0.15587266717931916,0.15666666666666668
domain_log_l2,19618,0.36816000901070906,0.11204637406326119,0.7476663022453957,0.15619055327004097,0.15666666666666668
domain_log_l2,31415,0.3753029404469894,0.11309130711734021,0.7277352619628291,0.15723115833108345,0.15666666666666668
ordinal_onehot_l2,0,0.3884820806099468,0.12130355129457641,0.7403077958119586,0.15229581174851578,0.15666666666666668
ordinal_onehot_l2,42,0.3986459970576266,0.12493971241247129,0.7274409217054915,0.1578049811098607,0.15666666666666668
ordinal_onehot_l2,2026,0.3960940668632183,0.12134565120212173,0.7290808174249432,0.15400550877989658,0.15666666666666668
ordinal_onehot_l2,9618,0.38921133551198833,0.11992744531348204,0.719703977798335,0.1535011452136324,0.15666666666666668
ordinal_onehot_l2,19618,0.38360073981002707,0.11756305154617804,0.7443865108064922,0.15901034870938047,0.15666666666666668
ordinal_onehot_l2,31415,0.3821698988521553,0.1186555357752602,0.7401816499873854,0.15272941659154018,0.15666666666666668
quadratic_l2,0,0.3724738877660927,0.11308944728171945,0.7227314775880919,0.1507053969548747,0.15666666666666668
quadratic_l2,42,0.37758191632670074,0.11565690958305526,0.7266840467580522,0.16019954286423352,0.15666666666666668
quadratic_l2,2026,0.3649372106089563,0.11201350106843437,0.7540576906904382,0.15621814448998664,0.15666666666666668
quadratic_l2,9618,0.37397976522316373,0.11382541065384758,0.7187789084181313,0.15892413358609644,0.15666666666666668
quadratic_l2,19618,0.3714223693070919,0.11278476347707583,0.7538053990412917,0.16350497305925613,0.15666666666666668
quadratic_l2,31415,0.36374804509173636,0.11098286640669607,0.7495164410058027,0.1532880436547849,0.15666666666666668
random_forest,0,0.37803350559129856,0.11547315597523684,0.7340846017996805,0.1596953598656109,0.15666666666666668
random_forest,42,0.3738959248604862,0.11451882270784888,0.7378689765368767,0.1591409153722407,0.15666666666666668
random_forest,2026,0.3798178018784035,0.1170262864763107,0.7389201917416534,0.1611454300409788,0.15666666666666668
random_forest,9618,0.35400304520827053,0.10883455799958909,0.7799175847279455,0.1593978691207909,0.15666666666666668
random_forest,19618,0.36282350607812847,0.11016905998426739,0.768606509124548,0.1615589756330738,0.15666666666666668
random_forest,31415,0.3741905992127002,0.11400088377731823,0.7404339416365319,0.16331598464811564,0.15666666666666668
raw_l1,0,0.38292044374940387,0.11542973191242165,0.6932133546379615,0.16149685104987058,0.15666666666666668
raw_l1,42,0.38181579576891567,0.1158349741191167,0.7133966865696746,0.16803923052839276,0.15666666666666668
raw_l1,2026,0.3780728083808039,0.11512619232443583,0.7315196367000252,0.16169506559197291,0.15666666666666668
raw_l1,9618,0.37436089331245553,0.1141695350079386,0.7157514086283744,0.16325263251758207,0.15666666666666668
raw_l1,19618,0.38846409866214787,0.11857619182467298,0.7334538726768145,0.17431364129539975,0.15666666666666668
raw_l1,31415,0.374601636371633,0.11502227673436129,0.73564040030275,0.15977778894274508,0.15666666666666668
raw_l2,0,0.3679100182360239,0.11133633305124481,0.7329913379867126,0.14918224910509545,0.15666666666666668
raw_l2,42,0.37099666040106866,0.1131311287842405,0.7361870322092339,0.1603254169912428,0.15666666666666668
raw_l2,2026,0.36634237936187425,0.11188230057136646,0.7477503994617779,0.15564350401201385,0.15666666666666668
raw_l2,9618,0.3694280943242946,0.11257866355812492,0.7294592548986628,0.15372480064714575,0.15666666666666668
raw_l2,19618,0.3721845936544884,0.11368669391192587,0.7519552602808847,0.16163520716216692,0.15666666666666668
raw_l2,31415,0.370612579191183,0.11326719108404411,0.7395088722563283,0.15604038778819068,0.15666666666666668
spline_degree2_l2,0,0.37637591427405626,0.11342843861379362,0.7194516861491884,0.14843762544292996,0.15666666666666668
spline_degree2_l2,42,0.36584171711638125,0.10973796692463661,0.7449331427129762,0.15733016395754093,0.15666666666666668
spline_degree2_l2,2026,0.36544582525553077,0.10997298470835867,0.7437978302918173,0.1564892393393903,0.15666666666666668
spline_degree2_l2,9618,0.3747387768566985,0.11283616340811742,0.7157514086283744,0.15327955433484813,0.15666666666666668
spline_degree2_l2,19618,0.36190358019669416,0.11016617594554079,0.7638129677907661,0.15427276953139837,0.15666666666666668
spline_degree2_l2,31415,0.36797010445478096,0.1117153231186712,0.742956858127996,0.15385258775844482,0.15666666666666668
spline_degree3_l2,0,0.37946902221575723,0.11449313826382707,0.7199562694474813,0.14819780118011006,0.15666666666666668
spline_degree3_l2,42,0.3705206977248526,0.11174319740301716,0.7413169624085442,0.15899807628313545,0.15666666666666668
spline_degree3_l2,2026,0.36688680585550737,0.11073251765689117,0.7491800521402742,0.15526449576477228,0.15666666666666668
spline_degree3_l2,9618,0.3737233747104222,0.11181558148281823,0.713648978218821,0.15197115486412432,0.15666666666666668
spline_degree3_l2,19618,0.36242940871007456,0.11011155044635132,0.7602808847027164,0.15545025492414932,0.15666666666666668
spline_degree3_l2,31415,0.3679666215832806,0.11188588570161931,0.7461525523505173,0.15313530338225328,0.15666666666666668
xgboost,0,0.3830440242049609,0.11669947160626902,0.7334959212850054,0.15493653210751301,0.15666666666666668
xgboost,42,0.38074867813042573,0.11676314318388653,0.7385417542679338,0.1573078977419816,0.15666666666666668
xgboost,2026,0.39528577077762406,0.12163294586025501,0.7201665124884365,0.15681343362456904,0.15666666666666668
xgboost,9618,0.36929920712034703,0.11314618691001577,0.7635186275334286,0.1532961735869486,0.15666666666666668
xgboost,19618,0.3771703090748877,0.11467992867062186,0.7453115801866959,0.15481125840463164,0.15666666666666668
xgboost,31415,0.38447284546309146,0.117827976418154,0.7338743587587251,0.15655545060765774,0.15666666666666668
