C,mean_log_loss,sd_fold_log_loss,selected
0.0001,0.43318345759566645,0.013965465964429848,False
0.00031622776601683794,0.43099499781346623,0.013877561559322293,False
0.001,0.4248746732850381,0.014084075498671985,False
0.0031622776601683794,0.411079186725791,0.017067322308406473,False
0.01,0.39091450565286845,0.0261375198367967,False
0.03162277660168379,0.37419608087015116,0.0359432030599702,False
0.1,0.36628085910281627,0.04269068600441665,False
0.31622776601683794,0.36569877907980025,0.048816398383348295,True
1.0,0.3695361674685123,0.055504498506025055,False
3.1622776601683795,0.37418616298101465,0.06163340152407497,False
10.0,0.37715617818251523,0.06568513982596352,False
31.622776601683793,0.37847817576110093,0.0675899824974296,False
100.0,0.3789517520715382,0.06830294060071379,False
316.22776601683796,0.3791094218006425,0.06854082394887112,False
1000.0,0.37915998334672313,0.06861748459164786,False
