max_depth,transformed_year_mean_cv_mse,original_year_mean_cv_mse,mse_difference_transformed_minus_original,absolute_mse_difference
2,3918.8839017634114,3918.8839017634114,0.0,0.0
3,2878.913169211155,2878.913169211155,0.0,0.0
4,2517.852166059831,2517.8521660598312,-4.547473508864641e-13,4.547473508864641e-13
5,2365.253957057236,2342.7025183266696,22.551438730566588,22.551438730566588
6,2300.5476960009996,2311.32490172356,-10.777205722560211,10.777205722560211
7,2322.913051122033,2347.2128880425284,-24.299836920495636,24.299836920495636
8,2336.0573365806986,2382.1095305660942,-46.05219398539566,46.05219398539566
9,2337.0868615782565,2375.7432985652526,-38.65643698699614,38.65643698699614
10,2337.0868615782565,2375.7432985652526,-38.65643698699614,38.65643698699614
