max_depth,selection_count,mean_mse_across_seeds,sd_mse_across_seeds,min_mse_across_seeds,max_mse_across_seeds
2,0,3977.8156447851156,137.91392483816367,3820.5806821302467,4232.285438236829
3,0,3247.505616464738,208.2292325498699,2878.913169211155,3470.368466825925
4,0,2806.4431621848216,152.52965783729505,2517.852166059831,2922.81242628263
5,3,2662.3625227758907,162.7149643294699,2365.253957057236,2782.837224402778
6,2,2660.978203343597,194.52861235144454,2300.5476960009996,2828.535690739538
7,1,2700.516623024464,215.93959104465793,2322.913051122033,2938.0626829991847
8,0,2705.7816228242673,220.15837019975956,2336.0573365806986,2965.8845654367874
9,0,2707.53751639234,222.23445269580307,2337.0868615782565,2976.7078888693877
10,0,2706.9898487706237,221.93408006820724,2337.0868615782565,2976.7078888693877
