base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s55|imb=none|w=1.0|delta=0.0|r=None|k=None,s55|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,55,0.3787358878211951,0.05121477539983066,0.1163502961397171,0.7676662309368191,0.1519189089536667,0.15666666666666665,0.0047477577129999725,111.8,118,0.7671328671328672,0.8400000000000001,4,0.03,3,1.0,1.0,0.7,5.0,0.0,none,1.0,0.0,,,none,
s43|imb=none|w=1.0|delta=0.0|r=None|k=None,s43|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,43,0.3803411558071986,0.058661533313172205,0.11626832485198975,0.7577019607843137,0.1515808343887329,0.15666666666666665,0.005085832277933749,98.8,97,0.6878501869590274,0.74,4,0.1,3,0.5,0.85,0.7,5.0,1.0,none,1.0,0.0,,,none,
s41|imb=none|w=1.0|delta=0.0|r=None|k=None,s41|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,41,0.382556368302603,0.04947257519009339,0.11916472613811493,0.7539372549019607,0.1508053198456764,0.15666666666666665,0.0058613468209902375,56.6,59,0.7708172200027286,0.8600000000000001,2,0.1,1,0.0,1.0,1.0,1.0,0.0,none,1.0,0.0,,,none,
s58|imb=none|w=1.0|delta=0.0|r=None|k=None,s58|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,58,0.3847633231043564,0.058726386672767084,0.11802816540002822,0.757680174291939,0.15061987042427064,0.15666666666666665,0.00604679624239603,215.4,296,0.7469502893177189,0.72,3,0.01,1,0.5,1.0,0.85,1.0,1.0,none,1.0,0.0,,,none,
s28|imb=none|w=1.0|delta=0.0|r=None|k=None,s28|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,28,0.3850763517277296,0.07782163399666703,0.11718838065862655,0.7580662309368191,0.14355024695396423,0.15666666666666665,0.013116419712702426,287.4,272,0.8111888111888114,0.9200000000000002,3,0.03,3,0.1,0.85,0.85,1.0,0.1,none,1.0,0.0,,,none,
s51|imb=none|w=1.0|delta=0.0|r=None|k=None,s51|imb=none|w=1.0|delta=0.0|r=None|k=None|cal=none|folds=None,51,0.38523159719212935,0.07949897881113821,0.11709355413913727,0.7357938997821352,0.1469620496034622,0.15666666666666665,0.00970461706320444,173.2,186,0.820979020979021,0.8400000000000001,3,0.03,1,0.5,1.0,0.85,5.0,0.1,none,1.0,0.0,,,none,
