base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s41|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None,s41|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None|cal=none|folds=None,41,0.39323111002102745,0.06959818508192409,0.12202759087085724,0.7429943355119826,0.1871923714876175,0.15666666666666665,0.030525704820950832,59.8,59,0.7356643356643359,0.76,2,0.1,1,0.0,1.0,1.0,1.0,0.0,scale_pos_weight,1.5,1.0,,,none,
s28|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None,s28|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None|cal=none|folds=None,28,0.39333655255488664,0.059225086290276285,0.12201627641916275,0.7642949891067539,0.2068002700805664,0.15666666666666665,0.05013360341389974,174.2,142,0.7685314685314686,0.8400000000000001,3,0.03,3,0.1,0.85,0.85,1.0,0.1,random_over,1.0,0.0,0.4,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=4,s43|imb=smote|w=1.0|delta=0.0|r=0.2|k=4|cal=none|folds=None,43,0.3933772541469322,0.04770520600330283,0.12118892818689346,0.7510980392156863,0.1527475580573082,0.15666666666666665,0.003919108609358462,93.6,35,0.48307321511705387,0.72,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.2,4.0,none,
s43|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None,s43|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None|cal=none|folds=None,43,0.39346923309713866,0.06718543744675348,0.12247138023376465,0.7633376906318082,0.2102147340774536,0.15666666666666665,0.05354806741078695,183.8,68,0.6951048951048951,0.9200000000000002,4,0.1,3,0.5,0.85,0.7,5.0,1.0,random_over,1.0,0.0,0.4,,none,
s51|imb=smote|w=1.0|delta=0.0|r=0.3|k=2,s51|imb=smote|w=1.0|delta=0.0|r=0.3|k=2|cal=none|folds=None,51,0.3936308313687683,0.07759307575340178,0.12153036892414093,0.7343973856209149,0.18770355582237244,0.15666666666666665,0.031036889155705776,238.6,189,0.5433566433566435,0.64,3,0.03,1,0.5,1.0,0.85,5.0,0.1,smote,1.0,0.0,0.3,2.0,none,
s51|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s51|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,51,0.3941001918888737,0.07397800883440277,0.11963849812746048,0.752355119825708,0.18903952538967134,0.15666666666666665,0.03237285872300467,173.8,165,0.8111888111888114,0.76,3,0.03,1,0.5,1.0,0.85,5.0,0.1,scale_pos_weight,1.5,0.0,,,none,
s51|imb=smote|w=1.0|delta=0.0|r=0.4|k=2,s51|imb=smote|w=1.0|delta=0.0|r=0.4|k=2|cal=none|folds=None,51,0.3941991584864439,0.07307535317001478,0.12295465618371963,0.7568514161220044,0.21411433815956116,0.15666666666666665,0.057447671492894495,260.4,183,0.597902097902098,0.6199999999999999,3,0.03,1,0.5,1.0,0.85,5.0,0.1,smote,1.0,0.0,0.4,2.0,none,
s28|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None,s28|imb=random_over|w=1.0|delta=0.0|r=0.3|k=None|cal=none|folds=None,28,0.39427339952559104,0.06716681913343645,0.120671346783638,0.7511873638344226,0.18329711258411407,0.15666666666666665,0.026630445917447416,199.0,132,0.6448738729389563,0.76,3,0.03,3,0.1,0.85,0.85,1.0,0.1,random_over,1.0,0.0,0.3,,none,
s28|imb=smote|w=1.0|delta=0.0|r=0.4|k=3,s28|imb=smote|w=1.0|delta=0.0|r=0.4|k=3|cal=none|folds=None,28,0.39470517875655026,0.0721318517301308,0.12400565296411514,0.7518797385620914,0.20150772035121917,0.15666666666666665,0.04484105368455252,160.8,153,0.4986013986013987,0.52,3,0.03,3,0.1,0.85,0.85,1.0,0.1,smote,1.0,0.0,0.4,3.0,none,
s58|imb=smote|w=1.0|delta=0.0|r=0.4|k=4,s58|imb=smote|w=1.0|delta=0.0|r=0.4|k=4|cal=none|folds=None,58,0.3960683949479066,0.04202429773299055,0.12255377769470215,0.7474583877995643,0.21597612500190735,0.15666666666666665,0.059309458335240685,307.0,301,0.562937062937063,0.5999999999999999,3,0.01,1,0.5,1.0,0.85,1.0,1.0,smote,1.0,0.0,0.4,4.0,none,
s55|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None,s55|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None|cal=none|folds=None,55,0.3962174059725284,0.0537555180986318,0.12156766206026078,0.7528226579520697,0.22347650825977325,0.15666666666666665,0.06680984159310659,612.4,91,0.723776223776224,0.76,4,0.03,3,1.0,1.0,0.7,5.0,0.0,random_over,1.0,0.0,0.4,,none,
s55|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None,s55|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None|cal=none|folds=None,55,0.39652843309023367,0.06338484193840142,0.12351671755313873,0.7561586056644879,0.23113393485546113,0.15666666666666665,0.07446726818879446,259.2,178,0.8,0.8800000000000001,4,0.03,3,1.0,1.0,0.7,5.0,0.0,scale_pos_weight,2.32,1.0,,,none,
s43|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None,s43|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None|cal=none|folds=None,43,0.3966198445087107,0.051743121353726315,0.12309687435626984,0.7590161220043573,0.18517410457134248,0.15666666666666665,0.02850743790467581,96.2,74,0.6986013986013987,0.86,4,0.1,3,0.5,0.85,0.7,5.0,1.0,scale_pos_weight,1.5,1.0,,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.3|k=3,s43|imb=smote|w=1.0|delta=0.0|r=0.3|k=3|cal=none|folds=None,43,0.39759385865724195,0.05309831485348251,0.1217494249343872,0.7592122004357298,0.18731184005737306,0.15666666666666665,0.03064517339070639,99.6,115,0.4615384615384617,0.6599999999999999,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.3,3.0,none,
s55|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None,s55|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None|cal=none|folds=None,55,0.3976522079844568,0.06497544312243964,0.12406237721443177,0.7579015250544663,0.2309407651424408,0.15666666666666665,0.07427409847577413,609.8,573,0.7951048951048951,0.8400000000000001,4,0.03,3,1.0,1.0,0.7,5.0,0.0,scale_pos_weight,2.32,0.0,,,none,
s55|imb=smote|w=1.0|delta=0.0|r=0.4|k=3,s55|imb=smote|w=1.0|delta=0.0|r=0.4|k=3|cal=none|folds=None,55,0.3983513265076076,0.04360884568308414,0.12411490380764008,0.7611372549019608,0.21510128080844879,0.15666666666666665,0.058434614141782124,419.8,139,0.5104895104895105,0.6799999999999999,4,0.03,3,1.0,1.0,0.7,5.0,0.0,smote,1.0,0.0,0.4,3.0,none,
s28|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None,s28|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None|cal=none|folds=None,28,0.3985721512060378,0.0620511418895481,0.12280541211366654,0.7449943355119826,0.2061363637447357,0.15666666666666665,0.04946969707806906,178.6,129,0.7538461538461539,0.8400000000000001,3,0.03,3,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,2.0,1.0,,,none,
s58|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None,s58|imb=scale_pos_weight|w=2.0|delta=1.0|r=None|k=None|cal=none|folds=None,58,0.39906537113829643,0.06655520083734574,0.12297633886337281,0.7541228758169936,0.21756173968315123,0.15666666666666665,0.06089507301648458,407.6,452,0.7763944648306071,0.78,3,0.01,1,0.5,1.0,0.85,1.0,1.0,scale_pos_weight,2.0,1.0,,,none,
s51|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None,s51|imb=random_over|w=1.0|delta=0.0|r=0.4|k=None|cal=none|folds=None,51,0.3991809012719947,0.08436356157285024,0.12327469885349274,0.7525655773420479,0.2096193701028824,0.15666666666666665,0.05295270343621572,293.0,243,0.6895104895104897,0.8400000000000001,3,0.03,1,0.5,1.0,0.85,5.0,0.1,random_over,1.0,0.0,0.4,,none,
s51|imb=smote|w=1.0|delta=0.0|r=0.3|k=3,s51|imb=smote|w=1.0|delta=0.0|r=0.3|k=3|cal=none|folds=None,51,0.3992727561259561,0.06076771216196246,0.1214863896369934,0.7393795206971678,0.18369000554084777,0.15666666666666665,0.027023338874181117,145.4,133,0.5356643356643358,0.72,3,0.03,1,0.5,1.0,0.85,5.0,0.1,smote,1.0,0.0,0.3,3.0,none,
