n_estimators,diagnostic_strategy,oob_coverage,oob_log_loss,oob_brier_score,mean_oob_probability,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
50,natural_distribution_diagnostic,1.0,0.37362166101035127,0.11543008366970066,0.1597623242743765,0.14636113138068735,0.1762162159889708,0.13518500358354238,0.11747658781746236,0.08107241057919609,0.02405437455417069,0.09741723158537702,0.09586432207863364,0.028880472629321897,0.01636791715985259,0.024421866604310415,0.05668246603847463
100,natural_distribution_diagnostic,1.0,0.3687419776582058,0.11310476732274716,0.15579703702362319,0.13904007590406686,0.17800559633457114,0.14139424347801752,0.10914827125586662,0.07523551576182028,0.035742620856341493,0.10341494594481247,0.09511567264341363,0.03058292677185334,0.016925701722270006,0.026437291236184813,0.048957138090781796
200,natural_distribution_diagnostic,1.0,0.36264837324919663,0.11171674540171175,0.15346996865478582,0.14501954597478323,0.17732322105079898,0.13849524300340385,0.10152378638965984,0.07248538431846964,0.03642222893189935,0.10119418295735051,0.08863544961311746,0.03703569497743109,0.02144912363991977,0.03079943343855841,0.0496167057046078
300,natural_distribution_diagnostic,1.0,0.36207207078500053,0.11151482146152655,0.15433452137976028,0.14492740936579432,0.1763321221276399,0.13804660191621734,0.09665912061479336,0.07613931791167332,0.03599769592005439,0.10324987303688213,0.09032927707938262,0.037829286015164595,0.021426440281026967,0.032971686797890525,0.04609116893348054
500,natural_distribution_diagnostic,1.0,0.36481747929815583,0.11246298024958726,0.15391976656640646,0.15231069550001144,0.1735538717438327,0.13919490577050925,0.08944781144840228,0.07793457238817106,0.0389850250979191,0.09989187194148655,0.09063474478488927,0.03678536018335461,0.02322114404614336,0.03193938826118741,0.046100608834092956
800,natural_distribution_diagnostic,1.0,0.3640804658838015,0.11212281882894605,0.1552903831377993,0.15153457566504816,0.16986807860377462,0.13814492388687072,0.09278839430005079,0.08022688135839603,0.03874952277603737,0.09810415293067606,0.08807328514621339,0.0388020976743382,0.023460657297615768,0.033485603394726185,0.046761826966252834
1000,natural_distribution_diagnostic,1.0,0.36321992631976147,0.11193674452427838,0.15489097545342878,0.15152640602073475,0.1703874870472329,0.13969386669029873,0.09339526293600868,0.08015737363544208,0.038317591977245616,0.09721828140375997,0.08723400892428308,0.03887654230465066,0.023149622944114805,0.034413038128751586,0.04563051798747706
1500,natural_distribution_diagnostic,1.0,0.3638843428057942,0.11216745458147609,0.15503835181558553,0.15342856544251454,0.1694647083456428,0.1409070011714452,0.0930627963544543,0.08057312204300456,0.03653535276332713,0.09532248679924443,0.08562880277903617,0.03961142143419466,0.024013846381573008,0.03559155962666599,0.04586033685889705
2000,natural_distribution_diagnostic,1.0,0.3640329802359732,0.1122305317457096,0.15509349403203126,0.153152606822791,0.171348616000725,0.1398527945117704,0.09328232484691197,0.07962586400408385,0.03638792219262024,0.09580907926664455,0.08287003045626078,0.039757026732068844,0.024749534766424584,0.036056617032691814,0.0471075833670071
