complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mdi_rank_stability,mdi_top5_overlap,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds
s48|none|r=None|k=None|cal=none|folds=None,48,0.354511623381639,0.0504703918909446,0.108667509291506,0.7884095860566449,0.1585645105958004,0.1566666666666666,0.0018978439291337,0.9300699300699304,0.8800000000000001,8,1,4,log_loss,0.7,none,,,none,
s70|random_over|r=0.2|k=None|cal=none|folds=None,70,0.3575521508082321,0.0520854114626071,0.1099140746881911,0.7816165577342049,0.1560886332319553,0.1566666666666666,0.0005780334347112,0.9006993006993008,0.8400000000000001,5,1,6,log_loss,1.0,random_over,0.2,,none,
s69|smote|r=0.2|k=4|cal=none|folds=None,69,0.3580582234247573,0.0523296570726748,0.1095993956896086,0.7804880174291939,0.1609903739965295,0.1566666666666666,0.0043237073298629,0.9006993006993008,0.9200000000000002,8,2,4,log_loss,1.0,smote,0.2,4.0,none,
s69|random_over|r=0.2|k=None|cal=none|folds=None,69,0.358062142208424,0.052927206872964,0.1098980744309956,0.7724662309368193,0.1597029065432755,0.1566666666666666,0.0030362398766088,0.8580419580419582,0.8,8,2,4,log_loss,1.0,random_over,0.2,,none,
s70|smote|r=0.3|k=2|cal=none|folds=None,70,0.3582802627751412,0.0416253806060842,0.1121656414617108,0.7886021786492374,0.1924812779003133,0.1566666666666666,0.0358146112336466,0.7391608391608392,0.74,5,1,6,log_loss,1.0,smote,0.3,2.0,none,
s46|random_over|r=0.2|k=None|cal=none|folds=None,46,0.3585918662236613,0.0525382762397262,0.1102307506111237,0.7834736383442266,0.1637033453577598,0.1566666666666666,0.0070366786910932,0.9048951048951052,0.8800000000000001,10,2,6,log_loss,0.7,random_over,0.2,,none,
