stage,complete_id,structure_id,cv_seed,fold,n_train,n_validation,positive_train,positive_validation,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
imbalance_screen,s48|none|r=None|k=None|cal=none|folds=None,48,9618,1,240,60,38,9,0.4290855504712417,0.13423654711025415,0.6296296296296295,0.12549346773124223,0.15,-0.024506532268757764,8,1,4,log_loss,0.7,none,,,none,,0.14319403301885053,0.1350977693863447,0.10869449380035383,0.0767121351205455,0.09465651930972035,0.06203887299022968,0.1016695223252396,0.12816916299940131,0.027385805356358237,0.035575656629896646,0.03285014296213075,0.053955886100928774
imbalance_screen,s48|none|r=None|k=None|cal=none|folds=None,48,9618,2,240,60,38,9,0.34279328533748615,0.10871427199832083,0.8464052287581699,0.15938506361981641,0.15,0.00938506361981642,8,1,4,log_loss,0.7,none,,,none,,0.14221067913274626,0.14973854454787594,0.0932037068135408,0.07573486004525104,0.07850579822783889,0.053430372070418404,0.10239251204278815,0.105541777716076,0.05262438306191665,0.027250380660050665,0.056594019730790986,0.06277296595070622
imbalance_screen,s48|none|r=None|k=None|cal=none|folds=None,48,9618,3,240,60,38,9,0.29113821892649744,0.08428932297355714,0.8660130718954248,0.17637910209085947,0.15,0.026379102090859474,8,1,4,log_loss,0.7,none,,,none,,0.13304562607945836,0.13809792281863675,0.09857421770859039,0.060179842771390706,0.08359973350240908,0.08191717124041835,0.1116291767894584,0.10474191970170622,0.04831198455399481,0.0286439983951635,0.051569821620830306,0.05968858481794316
imbalance_screen,s48|none|r=None|k=None|cal=none|folds=None,48,9618,4,240,60,37,10,0.3701674353822436,0.10934476542175094,0.762,0.16480312622641088,0.16666666666666666,-0.0018635404402557731,8,1,4,log_loss,0.7,none,,,none,,0.14069275761870542,0.14174344974381203,0.09531518412460993,0.04750795546615681,0.09935051522483661,0.06461183097911473,0.10372836789505469,0.0997079124437694,0.05129851462764785,0.023494726027250733,0.06514634103942489,0.06740244480961691
imbalance_screen,s48|none|r=None|k=None|cal=none|folds=None,48,9618,5,240,60,37,10,0.3393736267907262,0.1067526389536471,0.838,0.16676179331067328,0.16666666666666666,9.512664400662674e-05,8,1,4,log_loss,0.7,none,,,none,,0.1286664289793345,0.14008014819855827,0.09100356743836095,0.07173305500337174,0.09387605610424891,0.06603885492538698,0.09970743034292788,0.10686739286873953,0.04151563639619101,0.03395344867641573,0.055793647740559636,0.07076433332590489
imbalance_screen,s48|balanced|r=None|k=None|cal=none|folds=None,48,9618,1,240,60,38,9,0.43089436118187496,0.13888151533211918,0.6274509803921569,0.1496777344807465,0.15,-0.00032226551925348956,8,1,4,log_loss,0.7,balanced,,,none,,0.14814435554177313,0.1585772818026184,0.09463377092926907,0.06012368271695827,0.07463137630419367,0.054902157076271094,0.09339691159568705,0.13850544896237577,0.031159528348892664,0.04895230665235049,0.029441305901928488,0.06753187416768199
imbalance_screen,s48|balanced|r=None|k=None|cal=none|folds=None,48,9618,2,240,60,38,9,0.3755713374165667,0.12110621718547257,0.7723311546840959,0.20687049536988902,0.15,0.05687049536988903,8,1,4,log_loss,0.7,balanced,,,none,,0.14168247469382983,0.18831780503953002,0.07099705469885753,0.07214197184120803,0.07035079741479122,0.05807621131064118,0.10235003530272509,0.09905157823994218,0.04893482681728832,0.029716646992238135,0.06049681619296819,0.057883781455980055
imbalance_screen,s48|balanced|r=None|k=None|cal=none|folds=None,48,9618,3,240,60,38,9,0.3030213466876736,0.08906736475697173,0.8769063180827887,0.21007493982449482,0.15,0.06007493982449483,8,1,4,log_loss,0.7,balanced,,,none,,0.14231344615900482,0.16052175934352572,0.08151605817641502,0.057319316391502964,0.08253180467113827,0.07822206859137223,0.10755305916650391,0.11092416627361044,0.0408373147456635,0.031597475602163444,0.052363485855976395,0.05430004502312333
imbalance_screen,s48|balanced|r=None|k=None|cal=none|folds=None,48,9618,4,240,60,37,10,0.3634996957960813,0.11189188030946166,0.7859999999999999,0.18641021961136175,0.16666666666666666,0.019743552944695097,8,1,4,log_loss,0.7,balanced,,,none,,0.14503456533979808,0.17002623781787196,0.09095201894594186,0.04208566686613745,0.09776894664730038,0.06153277706067424,0.10628083651580021,0.09583841596318578,0.04725020285775583,0.021619827916814317,0.06366644944840873,0.05794405462031129
imbalance_screen,s48|balanced|r=None|k=None|cal=none|folds=None,48,9618,5,240,60,37,10,0.33044789153177623,0.10360261935388691,0.862,0.20020284266808772,0.16666666666666666,0.03353617600142106,8,1,4,log_loss,0.7,balanced,,,none,,0.13616681366768096,0.1730954168224087,0.08040341076364531,0.058397064501293804,0.08257948999702384,0.07104952786149234,0.10144478170012004,0.10651494702597167,0.036952328038977966,0.0393166650034669,0.056092820846252285,0.05798673377166617
imbalance_screen,s48|balanced_subsample|r=None|k=None|cal=none|folds=None,48,9618,1,240,60,38,9,0.4460933168503213,0.14255414140266914,0.6034858387799564,0.14941731154241839,0.15,-0.0005826884575816094,8,1,4,log_loss,0.7,balanced_subsample,,,none,,0.14783545981485546,0.153944220074779,0.09574522886156037,0.05813024647079839,0.07579162127029884,0.05488677924574504,0.09630480768947358,0.14241079284453836,0.031652754433645534,0.04651291437683167,0.028199016230066577,0.06858615868740711
imbalance_screen,s48|balanced_subsample|r=None|k=None|cal=none|folds=None,48,9618,2,240,60,38,9,0.37371890590842965,0.12004316894697875,0.7788671023965141,0.2064852608313838,0.15,0.056485260831383804,8,1,4,log_loss,0.7,balanced_subsample,,,none,,0.14285814103695582,0.18886435739963106,0.07127532580300346,0.0710819778931099,0.07267763972082951,0.05938331766810193,0.10012986787576555,0.09702000621808902,0.04948628082660357,0.03044670877311011,0.057174131354190014,0.05960224543061016
