rank,feature,importance
1,LotArea,0.16444468609391516
2,OverallQual,0.14957939138306386
3,GrLivArea,0.1473850924458475
4,OverallCond,0.10673054472829012
5,TotalBsmtSF,0.09723851090768584
6,GarageArea,0.08862657043424917
7,YearBuilt,0.07202155390351439
8,OpenPorchSF,0.041311954691368676
9,YearRemodAdd,0.03559312526220145
10,WoodDeckSF,0.03539152216069048
11,BedroomAbvGr,0.03486191537804651
12,Fireplaces,0.02681513261112672
