stage,complete_id,structure_id,cv_seed,fold,n_train,n_validation,positive_train,positive_validation,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
structure_screen,s0|none|r=None|k=None|cal=none|folds=None,0,9618,1,240,60,38,9,0.4407036856834431,0.13648625099621062,0.5686274509803921,0.13621592117794795,0.15,-0.013784078822052043,10,10,4,gini,1.0,none,,,none,,0.160961805257593,0.11260038528112686,0.1872292076760045,0.02572098403086066,0.07672188695105733,0.04034737560454777,0.08234376599871149,0.20044007721740809,0.019655549311119333,0.048721026569587385,0.012568617930589351,0.03268931817139408
structure_screen,s0|none|r=None|k=None|cal=none|folds=None,0,9618,2,240,60,38,9,0.35623062199598526,0.11076420822786841,0.8311546840958606,0.17001089508023437,0.15,0.020010895080234375,10,10,4,gini,1.0,none,,,none,,0.18033787663871462,0.0997294706288568,0.12844492240489094,0.03766870553925259,0.07921939020023078,0.05750730135211795,0.09303761870128195,0.14193855146414683,0.08061520064100157,0.02786247051143422,0.03641443530931481,0.0372240566087571
structure_screen,s0|none|r=None|k=None|cal=none|folds=None,0,9618,3,240,60,38,9,0.32309551760908745,0.09680589611731887,0.8616557734204793,0.16048742759909077,0.15,0.01048742759909077,10,10,4,gini,1.0,none,,,none,,0.13825466701716918,0.10891245900424322,0.13347473931170936,0.035337493099320424,0.0810685509469231,0.06915809656861886,0.11289893716481761,0.13752418446626133,0.062357194757869126,0.04085688026054469,0.03955646210138333,0.04060033530113982
structure_screen,s0|none|r=None|k=None|cal=none|folds=None,0,9618,4,240,60,37,10,0.38919770062992004,0.11724877198009338,0.752,0.15337004941818547,0.16666666666666666,-0.01329661724848119,10,10,4,gini,1.0,none,,,none,,0.15179777344941617,0.11851086291529066,0.1421292205526471,0.014383159922355782,0.11405708602757869,0.05512039742785862,0.08879225291165109,0.10688828864415499,0.079721169047563,0.016394873345865205,0.07226210449535149,0.03994281126026717
structure_screen,s0|none|r=None|k=None|cal=none|folds=None,0,9618,5,240,60,37,10,0.3627631860059764,0.11529291371988783,0.8360000000000001,0.16446044974612037,0.16666666666666666,-0.002206216920546289,10,10,4,gini,1.0,none,,,none,,0.1480690952167175,0.13006410919392933,0.1591418872704738,0.020245111576478382,0.08945098286557202,0.04425835462825197,0.1031564513656213,0.14507852455831044,0.03411645860654935,0.03496021829037812,0.054521436126346426,0.036937370301371585
structure_screen,s1|none|r=None|k=None|cal=none|folds=None,1,9618,1,240,60,38,9,0.4333482590166956,0.13445612318383252,0.5838779956427016,0.13235334058847367,0.15,-0.017646659411526322,4,5,3,log_loss,1.0,none,,,none,,0.15367590707728793,0.12536043544412415,0.1404276587899282,0.09897365927584911,0.0649847589942239,0.04037851047633087,0.07162890737987532,0.1448946910114831,0.029657587967772854,0.05015472550457511,0.016669660099602895,0.06319349797894655
structure_screen,s1|none|r=None|k=None|cal=none|folds=None,1,9618,2,240,60,38,9,0.36370489846044296,0.11359561825069604,0.8180827886710239,0.15360463420130227,0.15,0.003604634201302276,4,5,3,log_loss,1.0,none,,,none,,0.15724310897119784,0.1738157472294493,0.11184326038550556,0.09686534388631057,0.05974869343957453,0.04456793039491228,0.07670280066078132,0.09270017690044381,0.07123353435896519,0.029342460448515652,0.04503339969716749,0.04090354362717654
structure_screen,s1|none|r=None|k=None|cal=none|folds=None,1,9618,3,240,60,38,9,0.31801002269116146,0.09455830350110123,0.8638344226579521,0.16414771135193343,0.15,0.014147711351933434,4,5,3,log_loss,1.0,none,,,none,,0.14913374763548196,0.16046821796761634,0.10965204215185174,0.06286126118154202,0.06398558291315988,0.05493991239500743,0.09386022722352227,0.10097833764264247,0.07015634593210036,0.04039573364185104,0.042844324692704334,0.05072426662252
structure_screen,s1|none|r=None|k=None|cal=none|folds=None,1,9618,4,240,60,37,10,0.37097032457395035,0.11264754213361154,0.764,0.15436315125097913,0.16666666666666666,-0.012303515415687527,4,5,3,log_loss,1.0,none,,,none,,0.16284868876261518,0.15332110077208178,0.11455593020767299,0.0426299755672427,0.1007289043868765,0.05547397865057103,0.07755394658178066,0.10054901722712044,0.06461776373694746,0.02129316418829332,0.05550203044245971,0.05092549947633805
structure_screen,s1|none|r=None|k=None|cal=none|folds=None,1,9618,5,240,60,37,10,0.3556223872220519,0.11191583844098134,0.856,0.16259302886308025,0.16666666666666666,-0.004073637803586411,4,5,3,log_loss,1.0,none,,,none,,0.14610660600693268,0.16200455865522448,0.11699735764614747,0.0866766642732521,0.0757673414181757,0.0531728745246545,0.08159749630154335,0.1137547942821195,0.0421591728308116,0.038441974484605373,0.041084305040123816,0.04223685453640932
