complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mdi_rank_stability,mdi_top5_overlap,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds
s48|none|r=None|k=None|cal=none|folds=None,48,0.35451162338163905,0.050470391890944696,0.10866750929150601,0.7884095860566449,0.15856451059580048,0.15666666666666665,0.0018978439291337968,0.9300699300699303,0.8800000000000001,8,1,4,log_loss,0.7,none,,,none,
s69|none|r=None|k=None|cal=none|folds=None,69,0.35877898410447734,0.05164204548780845,0.11070561188806902,0.7807023965141613,0.15592749193990635,0.15666666666666665,0.0007391747267603138,0.8972027972027974,0.9200000000000002,8,2,4,log_loss,1.0,none,,,none,
s46|none|r=None|k=None|cal=none|folds=None,46,0.3587814147627511,0.05035597722275886,0.11045429290829503,0.7841237472766884,0.16042940030860378,0.15666666666666665,0.003762733641937113,0.9286713286713286,0.9200000000000002,10,2,6,log_loss,0.7,none,,,none,
s70|none|r=None|k=None|cal=none|folds=None,70,0.3607561892326498,0.04842216639204626,0.11103350224533748,0.7756949891067537,0.15280846876067003,0.15666666666666665,0.003858197905996644,0.8692307692307694,0.78,5,1,6,log_loss,1.0,none,,,none,
s41|none|r=None|k=None|cal=none|folds=None,41,0.3613694628837575,0.04647618741204523,0.11079774992940486,0.7743520697167755,0.15332012280919008,0.15666666666666665,0.0033465438574765694,0.8671328671328672,0.8,5,1,3,log_loss,1.0,none,,,none,
s6|none|r=None|k=None|cal=none|folds=None,6,0.3615311161560354,0.05394419079087508,0.11111667599231974,0.7791808278867103,0.15781026823488747,0.15666666666666665,0.0011436015682208007,0.9146853146853149,0.8800000000000001,10,2,3,log_loss,1.0,none,,,none,
s20|none|r=None|k=None|cal=none|folds=None,20,0.36178569215987155,0.05514993268697879,0.11102354613484995,0.771516339869281,0.156247182848321,0.15666666666666665,0.00041948381834565893,0.8923076923076925,0.86,8,1,4,log_loss,1.0,none,,,none,
s53|none|r=None|k=None|cal=none|folds=None,53,0.3619715175735206,0.04564643417994389,0.1111833646759656,0.7852522875816994,0.1565833344666805,0.15666666666666665,8.33321999861858e-05,0.8944055944055946,0.86,12,5,4,log_loss,0.7,none,,,none,
s3|none|r=None|k=None|cal=none|folds=None,3,0.3620123175105556,0.045672316012577575,0.11119162527985613,0.7843808278867103,0.15656940990649124,0.15666666666666665,9.725676017542373e-05,0.8944055944055946,0.86,10,5,4,log_loss,0.7,none,,,none,
s52|none|r=None|k=None|cal=none|folds=None,52,0.3620268401672469,0.04379876849138219,0.11157418890331183,0.7851808278867103,0.1556601715538291,0.15666666666666665,0.0010064951128375631,0.8930069930069932,0.9200000000000002,6,5,3,log_loss,0.7,none,,,none,
s67|none|r=None|k=None|cal=none|folds=None,67,0.362362139612725,0.046172714040114464,0.11119137524396967,0.7852522875816994,0.15650203968350263,0.15666666666666665,0.00016462698316401235,0.8986013986013986,0.9200000000000002,8,5,4,log_loss,0.7,none,,,none,
s43|none|r=None|k=None|cal=none|folds=None,43,0.36250166999316386,0.05251104297151941,0.11113843190785626,0.7693376906318085,0.15633538021618437,0.15666666666666665,0.0003312864504822599,0.904895104895105,0.8800000000000001,8,2,3,log_loss,1.0,none,,,none,
s18|none|r=None|k=None|cal=none|folds=None,18,0.3627842414749241,0.04449316132501623,0.11200991144368107,0.7778806100217865,0.1575601429808009,0.15666666666666665,0.0008934763141342283,0.9139860139860142,0.9200000000000002,12,5,6,log_loss,0.7,none,,,none,
s10|none|r=None|k=None|cal=none|folds=None,10,0.36316147809014276,0.046999102698953084,0.11192321724126664,0.7791877995642702,0.1554611461073527,0.15666666666666665,0.0012055205593139607,0.8734265734265735,0.9200000000000002,8,5,3,log_loss,1.0,none,,,none,
s11|none|r=None|k=None|cal=none|folds=None,11,0.3638879502126918,0.052630574575914905,0.11156934243037568,0.7723163398692809,0.15717142015912428,0.15666666666666665,0.000504753492457602,0.876923076923077,0.9200000000000002,12,5,6,log_loss,1.0,none,,,none,
s16|none|r=None|k=None|cal=none|folds=None,16,0.3638983651805799,0.03999024825461004,0.11320905329085247,0.7845594771241828,0.1564919201875247,0.15666666666666665,0.00017474647914196838,0.8062937062937063,1.0,6,10,6,log_loss,1.0,none,,,none,
s59|none|r=None|k=None|cal=none|folds=None,59,0.36394711131676305,0.04349405716564608,0.11180539909972816,0.7746806100217866,0.15235043523709196,0.15666666666666665,0.0043162314295746625,0.8622377622377624,0.78,4,1,6,log_loss,1.0,none,,,none,
s32|none|r=None|k=None|cal=none|folds=None,32,0.364177869763146,0.04055568838852374,0.11317179434910711,0.7845237472766884,0.15665990989236941,0.15666666666666665,6.756774297245194e-06,0.8062937062937063,1.0,12,10,6,log_loss,1.0,none,,,none,
s7|none|r=None|k=None|cal=none|folds=None,7,0.36429840487420734,0.03631267675713244,0.11313986739093425,0.7826021786492374,0.15587045865870403,0.15666666666666665,0.0007962080079626343,0.8426573426573427,0.9200000000000002,6,10,4,log_loss,1.0,none,,,none,
s54|none|r=None|k=None|cal=none|folds=None,54,0.3643040474078366,0.036667941882363435,0.1131198625887001,0.7822021786492376,0.1560682888987829,0.15666666666666665,0.0005983777678837509,0.8363636363636363,0.9200000000000002,8,10,4,log_loss,1.0,none,,,none,
s14|none|r=None|k=None|cal=none|folds=None,14,0.36434169922084353,0.0366630140910185,0.11312672048955745,0.782237908496732,0.15606833959213923,0.15666666666666665,0.0005983270745274216,0.8363636363636363,0.9200000000000002,12,10,4,log_loss,1.0,none,,,none,
s64|none|r=None|k=None|cal=none|folds=None,64,0.3645110860152242,0.04122536846928988,0.11223265487024667,0.781437908496732,0.15503233767684205,0.15666666666666665,0.0016343289898246237,0.8853146853146855,0.9200000000000002,5,5,3,log_loss,0.7,none,,,none,
s60|none|r=None|k=None|cal=none|folds=None,60,0.36463740995672966,0.038567954323261086,0.11240611152530618,0.7867093681917211,0.15397430821400857,0.15666666666666665,0.0026923584526580948,0.8258741258741258,0.8400000000000001,4,5,4,log_loss,0.7,none,,,none,
s30|none|r=None|k=None|cal=none|folds=None,30,0.36684178099799397,0.05616077419658498,0.11233873261317928,0.7738736383442266,0.15952400385144355,0.15666666666666665,0.0028573371847768897,0.902797202797203,0.86,10,2,6,log_loss,1.0,none,,,none,
s49|none|r=None|k=None|cal=none|folds=None,49,0.36731684412546106,0.04043590945310868,0.11419402873096848,0.7827877995642701,0.15537707907169762,0.15666666666666665,0.0012895875949690383,0.8713286713286713,0.9200000000000002,12,10,3,log_loss,1.0,none,,,none,
s58|none|r=None|k=None|cal=none|folds=None,58,0.36797264086464276,0.05923097503693687,0.11149714019718907,0.7615660130718955,0.16295131542531546,0.15666666666666665,0.006284648758648792,0.9062937062937065,0.9200000000000002,12,2,4,gini,0.7,none,,,none,
s1|none|r=None|k=None|cal=none|folds=None,1,0.36833117839286045,0.0416812920133313,0.11343468510204453,0.7771590413943354,0.15341237325115373,0.15666666666666665,0.00325429341551291,0.8216783216783219,0.86,4,5,3,log_loss,1.0,none,,,none,
s39|none|r=None|k=None|cal=none|folds=None,39,0.36887642659109554,0.057877833143667186,0.11278240007569995,0.7528732026143791,0.15750089549990345,0.15666666666666665,0.0008342288332367886,0.8503496503496504,0.8400000000000001,6,1,4,gini,1.0,none,,,none,
s36|none|r=None|k=None|cal=none|folds=None,36,0.3693228933837004,0.052251821552932405,0.11265283984193793,0.7733734204793029,0.15718331036026884,0.15666666666666665,0.0005166436936021923,0.8356643356643358,0.9200000000000002,6,5,6,gini,1.0,none,,,none,
s62|none|r=None|k=None|cal=none|folds=None,62,0.36944296434768437,0.03452583949253365,0.11517641650494519,0.7803877995642702,0.15602177439716186,0.15666666666666665,0.0006448922695048209,0.8013986013986015,1.0,8,15,6,log_loss,1.0,none,,,none,
s21|none|r=None|k=None|cal=none|folds=None,21,0.3700139163470118,0.04228652612823068,0.11286372543938598,0.7635660130718954,0.15724560083908345,0.15666666666666665,0.0005789341724167952,0.846853146853147,0.9200000000000002,8,5,3,gini,1.0,none,,,none,
s4|none|r=None|k=None|cal=none|folds=None,4,0.3704367828942997,0.04234229276724988,0.11331161032038248,0.7656374727668845,0.1574277301934734,0.15666666666666665,0.0007610635268067489,0.8895104895104897,0.8800000000000001,8,5,3,gini,0.7,none,,,none,
s38|none|r=None|k=None|cal=none|folds=None,38,0.3704977898947633,0.04234656617989909,0.11331680796068351,0.7644374727668846,0.15746944688482709,0.15666666666666665,0.0008027802181604316,0.8895104895104897,0.8800000000000001,12,5,3,gini,0.7,none,,,none,
s50|none|r=None|k=None|cal=none|folds=None,50,0.3705204999280579,0.04648710827280964,0.11290915110268236,0.7686161220043572,0.15871691616559114,0.15666666666666665,0.0020502494989244778,0.8643356643356643,0.9200000000000002,10,5,4,gini,0.7,none,,,none,
s2|none|r=None|k=None|cal=none|folds=None,2,0.3711794123289911,0.04692593576288768,0.11300559889097457,0.7677089324618735,0.1580570040169264,0.15666666666666665,0.0013903373502597294,0.8601398601398603,0.9200000000000002,6,5,4,gini,0.7,none,,,none,
s22|none|r=None|k=None|cal=none|folds=None,22,0.3715931327530778,0.03157085507117552,0.11593207406939746,0.7769019607843137,0.15484544085122617,0.15666666666666665,0.0018212258154404804,0.8000000000000002,0.8600000000000001,10,15,4,log_loss,1.0,none,,,none,
s51|none|r=None|k=None|cal=none|folds=None,51,0.37223456643962416,0.05917051349526931,0.11347316563333505,0.7491729847494554,0.1577845440262705,0.15666666666666665,0.0011178773596038527,0.8846153846153848,0.8400000000000001,6,2,6,gini,1.0,none,,,none,
s5|none|r=None|k=None|cal=none|folds=None,5,0.3731737885393303,0.03132893857751469,0.11634905147756185,0.7709089324618736,0.1545777610717152,0.15666666666666665,0.0020889055949514625,0.7671328671328672,0.8200000000000001,4,15,4,log_loss,1.0,none,,,none,
s29|none|r=None|k=None|cal=none|folds=None,29,0.373680703971491,0.041452813856503054,0.11378534066226997,0.7510370370370371,0.1525622974943668,0.15666666666666665,0.004104369172299865,0.8741258741258744,0.9200000000000002,3,2,3,log_loss,0.7,none,,,none,
s24|none|r=None|k=None|cal=none|folds=None,24,0.3741367654931832,0.03583354693278189,0.11611325754046871,0.7673873638344226,0.1543477604902368,0.15666666666666665,0.0023189061764298745,0.7027972027972028,0.8200000000000001,3,10,4,log_loss,1.0,none,,,none,
s0|none|r=None|k=None|cal=none|folds=None,0,0.37439814238488245,0.04391139462676976,0.11531960820827583,0.7698875816993465,0.15690894860431578,0.15666666666666665,0.00024228193764912475,0.8426573426573427,0.9200000000000002,10,10,4,gini,1.0,none,,,none,
s17|none|r=None|k=None|cal=none|folds=None,17,0.37446391826444014,0.04293317770993056,0.11536304313182244,0.7660374727668845,0.15658177064897863,0.15666666666666665,8.489601768804644e-05,0.8545454545454547,0.9200000000000002,5,10,4,gini,1.0,none,,,none,
s63|none|r=None|k=None|cal=none|folds=None,63,0.3748732359204129,0.0401105010772961,0.11441384188517836,0.76280174291939,0.1549870429201276,0.15666666666666665,0.0016796237465390384,0.8902097902097903,0.86,4,5,3,gini,0.7,none,,,none,
s23|none|r=None|k=None|cal=none|folds=None,23,0.37503748046509616,0.03583070448422565,0.11642377667027046,0.7654300653594771,0.1556833615152809,0.15666666666666665,0.0009833051513857937,0.7671328671328673,0.9199999999999999,3,10,6,log_loss,0.7,none,,,none,
s34|none|r=None|k=None|cal=none|folds=None,34,0.3754584720473012,0.04938057200933774,0.1154636401913729,0.7691590413943354,0.15800896047603977,0.15666666666666665,0.0013422938093730964,0.8622377622377624,0.9200000000000002,6,10,6,gini,1.0,none,,,none,
s57|none|r=None|k=None|cal=none|folds=None,57,0.3755757562607374,0.033575468823403815,0.11676407531971036,0.7649873638344226,0.1548599795781993,0.15666666666666665,0.001806687088467368,0.8223776223776227,0.8600000000000001,12,15,3,log_loss,1.0,none,,,none,
s61|none|r=None|k=None|cal=none|folds=None,61,0.3756651367938072,0.05183774102561546,0.11374837903321273,0.7410727668845316,0.15429640363195046,0.15666666666666665,0.0023702630347161692,0.8041958041958044,0.86,4,2,6,gini,0.7,none,,,none,
s44|none|r=None|k=None|cal=none|folds=None,44,0.3771279629929766,0.034963284319400524,0.11677582722833288,0.7635660130718954,0.15472101104881353,0.15666666666666665,0.0019456556178531425,0.7671328671328672,0.82,3,10,4,log_loss,0.7,none,,,none,
s13|none|r=None|k=None|cal=none|folds=None,13,0.37723591437991355,0.038283645740684484,0.11619179211471846,0.7630945533769062,0.15716180254168227,0.15666666666666665,0.0004951358750156399,0.8965034965034967,0.8800000000000001,8,10,4,gini,0.7,none,,,none,
s8|none|r=None|k=None|cal=none|folds=None,8,0.37723591437991355,0.0382836457406845,0.11619179211471846,0.7630945533769062,0.15716180254168227,0.15666666666666665,0.0004951358750156399,0.8965034965034967,0.8800000000000001,12,10,4,gini,0.7,none,,,none,
s56|none|r=None|k=None|cal=none|folds=None,56,0.37724490563531693,0.03821692504708086,0.11619022792856659,0.7630945533769063,0.15718217073875002,0.15666666666666665,0.000515504072083367,0.8965034965034967,0.8800000000000001,6,10,4,gini,0.7,none,,,none,
s71|none|r=None|k=None|cal=none|folds=None,71,0.3786955321552468,0.0442350956238197,0.11645197878998903,0.7629159041394336,0.15768210169406166,0.15666666666666665,0.001015435027395012,0.8769230769230771,0.9200000000000002,4,10,6,gini,0.7,none,,,none,
s27|none|r=None|k=None|cal=none|folds=None,27,0.37874071921874286,0.03635127124640386,0.11707481557262514,0.7653446623093683,0.15661273217743768,0.15666666666666665,5.3934489228968374e-05,0.8531468531468533,0.8400000000000001,10,15,4,gini,1.0,none,,,none,
s47|none|r=None|k=None|cal=none|folds=None,47,0.37874071921874286,0.03635127124640388,0.11707481557262514,0.7653446623093683,0.15661273217743768,0.15666666666666665,5.3934489228962824e-05,0.8531468531468533,0.8400000000000001,8,15,4,gini,1.0,none,,,none,
s19|none|r=None|k=None|cal=none|folds=None,19,0.37882265677059995,0.044244784886333176,0.11435856683488052,0.7369655773420478,0.15409286635911462,0.15666666666666665,0.00257380030755206,0.8181818181818183,0.76,3,2,3,gini,0.7,none,,,none,
s65|none|r=None|k=None|cal=none|folds=None,65,0.37919004192654937,0.037461385010437,0.11690316492407796,0.7585873638344226,0.1569204523722437,0.15666666666666665,0.0002537857055770421,0.9265734265734267,0.8800000000000001,5,10,3,gini,0.7,none,,,none,
s12|none|r=None|k=None|cal=none|folds=None,12,0.37985215800263966,0.04403513729347013,0.1152958247843282,0.7421298474945534,0.1529576028466679,0.15666666666666665,0.003709063819998748,0.806993006993007,0.8,3,5,4,gini,1.0,none,,,none,
