model,log_loss,auc,accuracy,precision,recall,f1,tn,fp,fn,tp
interactions,0.5195672067890104,0.8238495794161307,0.7111111111111111,0.6976744186046512,0.6976744186046512,0.6976744186046512,34,13,13,30
quadratic_interactions,0.5196907197624333,0.8208807521029193,0.7666666666666667,0.7391304347826086,0.7906976744186046,0.7640449438202247,35,12,9,34
linear,0.663893033469234,0.6724393864423552,0.5888888888888889,0.5789473684210527,0.5116279069767442,0.5432098765432098,31,16,21,22
quadratic,0.6757035610464002,0.6442355269668482,0.6333333333333333,0.6190476190476191,0.6046511627906976,0.611764705882353,31,16,17,26
