model,log_loss_mean,log_loss_sd,auc_mean,accuracy_mean,f1_mean
no_intercept,0.5391972531452368,0.0509841095025911,0.8048027570316225,0.7143333333333334,0.6994723836665383
with_intercept,0.5415832667559666,0.05206553625234894,0.8038212100746861,0.716,0.7029654974364524
