model,family,fold,degree,penalty,C,log_loss,auc,accuracy,f1
lasso_poly5_C0.3,sklearn_regularized,9,5,l1,0.3,0.5517742442001947,0.7797552836484983,0.65,0.6440677966101694
lasso_poly5_C1,sklearn_regularized,9,5,l1,1,0.6882766555462896,0.71412680756396,0.65,0.5882352941176471
lasso_poly5_C3,sklearn_regularized,9,5,l1,3,0.755841987004976,0.7230255839822023,0.6666666666666666,0.6428571428571429
lasso_poly5_C10,sklearn_regularized,9,5,l1,10,1.093078259256073,0.7041156840934372,0.65,0.631578947368421
lasso_poly5_C30,sklearn_regularized,9,5,l1,30,2.072785478961011,0.6941045606229144,0.6666666666666666,0.6428571428571429
lasso_poly5_C100,sklearn_regularized,9,5,l1,100,2.696482120118555,0.685761957730812,0.6,0.5714285714285714
lasso_poly6_C0.01,sklearn_regularized,9,6,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
lasso_poly6_C0.03,sklearn_regularized,9,6,l1,0.03,0.6493658608026361,0.778642936596218,0.7,0.7096774193548387
lasso_poly6_C0.1,sklearn_regularized,9,6,l1,0.1,0.549235652480668,0.8075639599555061,0.7333333333333333,0.7419354838709677
lasso_poly6_C0.3,sklearn_regularized,9,6,l1,0.3,0.5517655330623447,0.7797552836484983,0.65,0.6440677966101694
lasso_poly6_C1,sklearn_regularized,9,6,l1,1,0.7143788559105135,0.7085650723025583,0.6666666666666666,0.6296296296296297
lasso_poly6_C3,sklearn_regularized,9,6,l1,3,0.7593880014118944,0.7141268075639599,0.65,0.6181818181818182
lasso_poly6_C10,sklearn_regularized,9,6,l1,10,1.180386325183698,0.7230255839822025,0.6833333333333333,0.6545454545454545
lasso_poly6_C30,sklearn_regularized,9,6,l1,30,2.4383200894885704,0.695773081201335,0.65,0.6181818181818182
lasso_poly6_C100,sklearn_regularized,9,6,l1,100,2.508994112185907,0.7068965517241379,0.6666666666666666,0.6551724137931034
glm_current_simple,statsmodels_glm,10,,none,,0.5057413851393535,0.8375973303670745,0.75,0.7368421052631579
glm_best_subset,statsmodels_glm,10,,none,,0.5022926170750196,0.8286985539488321,0.75,0.7368421052631579
glm_full_degree2,statsmodels_glm,10,,none,,0.5409382171534047,0.8020022246941046,0.7166666666666667,0.7017543859649122
ridge_poly1_C0.01,sklearn_regularized,10,1,l2,0.01,0.6584398492652661,0.6751946607341491,0.55,0.4489795918367347
ridge_poly1_C0.03,sklearn_regularized,10,1,l2,0.03,0.6453421026674758,0.6751946607341491,0.5333333333333333,0.46153846153846156
ridge_poly1_C0.1,sklearn_regularized,10,1,l2,0.1,0.6423261103550596,0.6740823136818687,0.5333333333333333,0.46153846153846156
ridge_poly1_C0.3,sklearn_regularized,10,1,l2,0.3,0.6437465090063591,0.6729699666295884,0.5333333333333333,0.46153846153846156
ridge_poly1_C1,sklearn_regularized,10,1,l2,1,0.644941411110387,0.6729699666295884,0.5333333333333333,0.46153846153846156
ridge_poly1_C3,sklearn_regularized,10,1,l2,3,0.6453826161639333,0.6729699666295884,0.5166666666666667,0.4528301886792453
ridge_poly1_C10,sklearn_regularized,10,1,l2,10,0.64554915975726,0.6729699666295884,0.5166666666666667,0.4528301886792453
ridge_poly1_C30,sklearn_regularized,10,1,l2,30,0.6455979499763758,0.6729699666295884,0.5166666666666667,0.4528301886792453
ridge_poly1_C100,sklearn_regularized,10,1,l2,100,0.6456151550961989,0.6729699666295884,0.5166666666666667,0.4528301886792453
ridge_poly2_C0.01,sklearn_regularized,10,2,l2,0.01,0.6089250274813051,0.7986651835372637,0.65,0.5882352941176471
ridge_poly2_C0.03,sklearn_regularized,10,2,l2,0.03,0.5644791256948302,0.8020022246941046,0.7,0.6666666666666666
ridge_poly2_C0.1,sklearn_regularized,10,2,l2,0.1,0.5386290331961615,0.8042269187986651,0.7,0.6785714285714286
ridge_poly2_C0.3,sklearn_regularized,10,2,l2,0.3,0.5350524588994825,0.8008898776418243,0.7166666666666667,0.7017543859649122
ridge_poly2_C1,sklearn_regularized,10,2,l2,1,0.5378121954794975,0.8020022246941046,0.7166666666666667,0.7017543859649122
ridge_poly2_C3,sklearn_regularized,10,2,l2,3,0.5397055624200525,0.8008898776418243,0.7166666666666667,0.7017543859649122
ridge_poly2_C10,sklearn_regularized,10,2,l2,10,0.5405594876282225,0.8008898776418243,0.7166666666666667,0.7017543859649122
ridge_poly2_C30,sklearn_regularized,10,2,l2,30,0.5408252969777434,0.8020022246941046,0.7166666666666667,0.7017543859649122
ridge_poly2_C100,sklearn_regularized,10,2,l2,100,0.5409207761426645,0.8020022246941046,0.7166666666666667,0.7017543859649122
ridge_poly3_C0.01,sklearn_regularized,10,3,l2,0.01,0.6020826243514231,0.7875417130144605,0.6333333333333333,0.5769230769230769
ridge_poly3_C0.03,sklearn_regularized,10,3,l2,0.03,0.5614981233309381,0.8008898776418243,0.7,0.6666666666666666
ridge_poly3_C0.1,sklearn_regularized,10,3,l2,0.1,0.5414257156726343,0.8008898776418243,0.7333333333333333,0.7241379310344828
ridge_poly3_C0.3,sklearn_regularized,10,3,l2,0.3,0.5398887193193226,0.7997775305895439,0.75,0.7368421052631579
ridge_poly3_C1,sklearn_regularized,10,3,l2,1,0.53648763114418,0.8008898776418243,0.75,0.7368421052631579
ridge_poly3_C3,sklearn_regularized,10,3,l2,3,0.5326218096469507,0.8031145717463848,0.7333333333333333,0.7142857142857143
ridge_poly3_C10,sklearn_regularized,10,3,l2,10,0.5313404174796569,0.8020022246941045,0.7333333333333333,0.7142857142857143
ridge_poly3_C30,sklearn_regularized,10,3,l2,30,0.5310724267095667,0.8020022246941046,0.7333333333333333,0.7142857142857143
ridge_poly3_C100,sklearn_regularized,10,3,l2,100,0.5309948749652229,0.8020022246941046,0.7333333333333333,0.7142857142857143
ridge_poly4_C0.01,sklearn_regularized,10,4,l2,0.01,0.5834048538054708,0.8042269187986651,0.6666666666666666,0.6
ridge_poly4_C0.03,sklearn_regularized,10,4,l2,0.03,0.550976987293598,0.7997775305895439,0.7,0.6666666666666666
ridge_poly4_C0.1,sklearn_regularized,10,4,l2,0.1,0.543575255326474,0.796440489432703,0.7166666666666667,0.6909090909090909
ridge_poly4_C0.3,sklearn_regularized,10,4,l2,0.3,0.5437519477632482,0.799777530589544,0.7166666666666667,0.7017543859649122
ridge_poly4_C1,sklearn_regularized,10,4,l2,1,0.551904816557702,0.8075639599555061,0.75,0.7540983606557377
ridge_poly4_C3,sklearn_regularized,10,4,l2,3,0.6440721364615276,0.7664071190211347,0.6833333333333333,0.6885245901639344
ridge_poly4_C10,sklearn_regularized,10,4,l2,10,0.8067193816263233,0.7374860956618465,0.7,0.7096774193548387
ridge_poly4_C30,sklearn_regularized,10,4,l2,30,0.9390010701478783,0.728587319243604,0.6833333333333333,0.6984126984126984
ridge_poly4_C100,sklearn_regularized,10,4,l2,100,1.0174762705391722,0.7252502780867631,0.6833333333333333,0.6984126984126984
ridge_poly5_C0.01,sklearn_regularized,10,5,l2,0.01,0.5824734165386448,0.8064516129032259,0.6666666666666666,0.6
ridge_poly5_C0.03,sklearn_regularized,10,5,l2,0.03,0.5516446825595847,0.8008898776418243,0.7,0.6666666666666666
ridge_poly5_C0.1,sklearn_regularized,10,5,l2,0.1,0.5436693054193271,0.796440489432703,0.7166666666666667,0.6909090909090909
ridge_poly5_C0.3,sklearn_regularized,10,5,l2,0.3,0.5308549185446321,0.8142380422691881,0.7166666666666667,0.7017543859649122
ridge_poly5_C1,sklearn_regularized,10,5,l2,1,0.5388950169494672,0.8209121245828699,0.7666666666666667,0.7666666666666667
ridge_poly5_C3,sklearn_regularized,10,5,l2,3,0.7158131880815816,0.7630700778642937,0.7,0.7096774193548387
ridge_poly5_C10,sklearn_regularized,10,5,l2,10,1.0071756391108215,0.7497219132369299,0.7,0.7096774193548387
ridge_poly5_C30,sklearn_regularized,10,5,l2,30,1.2903378128594674,0.7419354838709677,0.7166666666666667,0.7301587301587301
ridge_poly5_C100,sklearn_regularized,10,5,l2,100,1.5908074086294508,0.731924360400445,0.7166666666666667,0.7213114754098361
ridge_poly6_C0.01,sklearn_regularized,10,6,l2,0.01,0.5790134324528353,0.8042269187986653,0.65,0.5882352941176471
ridge_poly6_C0.03,sklearn_regularized,10,6,l2,0.03,0.5513754736211024,0.796440489432703,0.7,0.6666666666666666
