strategy,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,mean_predicted_probability,observed_prevalence
none_sigmoid_calibrated,0.40199651528351504,0.12303931061293559,0.7664620301068036,0.8433333333333334,0.5,0.0,0.0,0.1578665852507931,0.15666666666666668
none,0.48150471847057036,0.11846822737558468,0.7419056429232193,0.8533333333333334,0.5492389201917417,0.7142857142857143,0.10638297872340426,0.15867498313676653,0.15666666666666668
smote_ratio_0.5,0.507094023880143,0.12860037973733796,0.7392565806071818,0.8366666666666667,0.608653603565722,0.4642857142857143,0.2765957446808511,0.23760016836299533,0.15666666666666668
smote_ratio_1.0,0.5847182133029573,0.16372806309018414,0.7299217895887645,0.7366666666666667,0.6273231856025565,0.2894736842105263,0.46808510638297873,0.31693054555166494,0.15666666666666668
class_weight_balanced,0.8631248886271726,0.18985078773198652,0.6871163064502565,0.6466666666666666,0.5653014885207299,0.2079207920792079,0.44680851063829785,0.34479658668007224,0.15666666666666668
