source_row_index,actual_distressed,smote_k10_ratio07_probability
0,0,0.0
1,0,0.5172756302847281
2,0,0.5409048628027541
3,1,0.5234826139573553
4,0,0.0
5,0,0.3714703636728953
6,0,0.18781386006026116
7,0,0.34218584310538336
8,0,0.11735537190082646
9,0,0.19751243781094527
10,0,0.18929487179487178
11,0,0.29528259218487324
12,0,0.10909090909090909
13,0,0.0
14,0,0.10909090909090909
15,0,0.008651162790697674
16,1,0.6451845966417713
17,0,0.0
18,0,0.15326987484576063
19,0,0.37286324786324787
20,0,0.32759295697931445
21,0,0.42404191682450076
22,0,0.0
23,0,0.3071219014942443
24,0,0.6479231722219474
25,0,0.21442616880475923
26,0,0.2784625264113469
27,0,0.07131782945736434
28,0,0.18845598845598843
29,0,0.6125704505165352
30,0,0.47438672438672447
31,0,0.25398305084745765
32,0,0.2524600133795536
33,1,0.8777777777777779
34,0,0.26463844797178127
35,0,0.26752739288190225
36,0,0.4917798195401007
37,0,0.2
38,0,0.585320509137327
39,0,0.4820818905291294
40,0,0.0
41,1,0.464425087108014
42,0,0.3917481971429884
43,0,0.4121036651711827
44,0,0.0
45,1,0.37124529919411964
46,0,0.4559285347755959
47,0,0.0
48,0,0.00909090909090909
49,0,0.12226512226512228
50,0,0.0
51,0,0.19425987449243262
52,0,0.21895287013715503
53,0,0.259823387599209
54,0,0.0
55,0,0.22084577114427856
56,0,0.0
57,0,0.15823529411764706
58,0,0.3316948808941039
59,1,0.2803882548044093
60,0,0.31339805825242717
61,0,0.1
62,0,0.062135922330097085
63,1,0.13840579710144926
64,0,0.0
65,1,0.4361515659028613
66,0,0.3749751775417975
67,0,0.0
68,0,0.2854840532855415
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.13039336366069038
73,0,0.04812942366026289
74,1,0.3255069491911597
75,0,0.05714285714285714
76,0,0.27506957592310954
77,0,0.0743372216330859
78,0,0.42782593778260936
79,0,0.06666666666666667
80,0,0.3226307898682238
81,0,0.15148660582867238
82,0,0.062135922330097085
83,0,0.26286376667364053
84,0,0.0
85,0,0.062135922330097085
86,0,0.42090950326760873
87,0,0.0
88,0,0.49957094149181136
89,0,0.0
90,0,0.34135146757456114
91,1,0.32437476670399407
92,0,0.0
93,0,0.24379596427242484
94,0,0.41426954292698526
95,0,0.0
96,0,0.14210526315789473
97,0,0.5780870614086429
98,1,0.4720023215505177
99,0,0.54948469583974
100,0,0.042105263157894736
101,0,0.41703930592008875
102,0,0.4207157911126681
103,1,0.2617310528823662
104,0,0.0
105,0,0.2
106,0,0.46813534473911833
107,0,0.11817910447761193
108,0,0.4252128454070202
109,0,0.0
110,0,0.0
111,0,0.34233427501264513
112,0,0.2512621359223301
113,0,0.4396571648690292
114,0,0.0
115,1,0.5372370258644767
116,1,0.5318016173949833
117,0,0.24545739671825095
118,0,0.19515151515151516
119,0,0.369490076536328
120,0,0.40814650941047714
121,0,0.2999300191457054
122,0,0.06336633663366337
123,0,0.14482758620689656
124,0,0.2148288610614192
125,0,0.0912621359223301
126,0,0.11594381035996489
127,0,0.1895424836601307
128,0,0.41282848186101884
129,0,0.12000000000000002
130,0,0.5916100529366919
131,0,0.6049371250074083
132,0,0.5644677090457141
133,0,0.6355621792417594
134,1,0.6892439738556149
135,0,0.05714285714285714
136,0,0.30473700212830646
137,0,0.0
138,0,0.4534829059829059
139,0,0.5280025025479571
140,1,0.04071673656118948
141,0,0.276419032819603
142,0,0.44198412698412703
143,0,0.1759168035030104
144,1,0.2729816934743757
145,1,0.8964102564102564
146,0,0.5637412666215912
147,0,0.07594381035996488
148,0,0.030434782608695653
149,0,0.16
150,0,0.2653503191600558
151,0,0.0
152,0,0.41477842995938935
153,0,0.08333333333333334
154,1,0.523457640131697
155,0,0.0
156,0,0.08780487804878048
157,0,0.4210232217536837
158,0,0.4547602768541041
159,0,0.5059003329465844
160,0,0.21242001085805323
161,0,0.0
162,0,0.3793086159123895
163,0,0.05955555555555556
164,0,0.07531782945736434
165,0,0.10702702702702702
166,0,0.26752739288190225
