fold,strategy,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,mean_predicted_probability,observed_prevalence
1,none,0.3593011321678809,0.11868167850329062,0.8017429193899781,0.8333333333333334,0.5816993464052287,0.4,0.2222222222222222,0.21290157004830926,0.15
1,class_weight_balanced,1.6760741047481864,0.21198960938396522,0.8104575163398694,0.7,0.7320261437908497,0.30434782608695654,0.7777777777777778,0.3619203241483718,0.15
1,smote_ratio_0.5,0.9576336531267658,0.14326163917793172,0.7930283224400871,0.7166666666666667,0.7875816993464052,0.3333333333333333,0.8888888888888888,0.281315813362382,0.15
1,smote_ratio_1.0,1.233500258221811,0.2465621677851292,0.733115468409586,0.6166666666666667,0.7287581699346405,0.26666666666666666,0.8888888888888888,0.3927760869565217,0.15
2,none,0.9506894038363355,0.1342896454501756,0.6623093681917211,0.8333333333333334,0.49019607843137253,0.0,0.0,0.14737480509487072,0.15
2,class_weight_balanced,1.1336111593663447,0.22291540008442776,0.6623093681917211,0.6166666666666667,0.5457516339869282,0.18181818181818182,0.4444444444444444,0.34180411793619203,0.15
2,smote_ratio_0.5,0.5826341562974993,0.1782405182152155,0.5610021786492375,0.6,0.4901960784313726,0.14285714285714285,0.3333333333333333,0.20836607888769543,0.15
2,smote_ratio_1.0,1.690718758413805,0.2078810842876825,0.5773420479302832,0.6666666666666666,0.5294117647058824,0.17647058823529413,0.3333333333333333,0.2628999023851965,0.15
3,none,0.4278756832661587,0.14962653842362253,0.7429193899782134,0.7166666666666667,0.4215686274509804,0.0,0.0,0.1758255404725993,0.15
3,class_weight_balanced,1.1401106328231612,0.21066954809907104,0.7178649237472766,0.6166666666666667,0.6830065359477124,0.25,0.7777777777777778,0.32333454382947835,0.15
3,smote_ratio_0.5,0.9666420344383936,0.1486368203403617,0.7494553376906318,0.75,0.5784313725490196,0.25,0.3333333333333333,0.23645580509314992,0.15
3,smote_ratio_1.0,2.2343289698836966,0.20610703420504337,0.6666666666666666,0.7,0.6862745098039216,0.2857142857142857,0.6666666666666666,0.27158508221637895,0.15
4,none,0.9566904056088309,0.13358729815455594,0.641,0.8333333333333334,0.5,0.0,0.0,0.11975490196078432,0.16666666666666666
4,class_weight_balanced,1.084356575037745,0.19398641933130728,0.7070000000000001,0.48333333333333334,0.65,0.23076923076923078,0.9,0.3630677661464706,0.16666666666666666
4,smote_ratio_0.5,1.6034183111182734,0.17138679283115713,0.6140000000000001,0.8166666666666667,0.49,0.0,0.0,0.2480703864037198,0.16666666666666666
4,smote_ratio_1.0,1.6020826523131653,0.18053091001859842,0.704,0.5833333333333334,0.67,0.25806451612903225,0.8,0.30829293793365653,0.16666666666666666
5,none,2.044950354911391,0.12950810218434464,0.67,0.85,0.59,0.6666666666666666,0.2,0.14563088512241057,0.16666666666666666
5,class_weight_balanced,2.2448449381463775,0.21804016609744592,0.671,0.5833333333333334,0.63,0.2413793103448276,0.7,0.3221322355289422,0.16666666666666666
5,smote_ratio_0.5,6.22974180448608,0.2461877283911117,0.5730000000000001,0.7666666666666667,0.58,0.3,0.3,0.28434973572545225,0.16666666666666666
5,smote_ratio_1.0,4.118011986081551,0.29023474880136374,0.589,0.5666666666666667,0.5800000000000001,0.21428571428571427,0.6,0.37076847457765677,0.16666666666666666
6,none,2.049493452855845,0.1297332202858987,0.6601307189542482,0.85,0.545751633986928,0.5,0.1111111111111111,0.1528804217589264,0.15
6,class_weight_balanced,1.0793714648480217,0.1917268320658996,0.7091503267973855,0.75,0.5784313725490196,0.25,0.3333333333333333,0.31758153812434053,0.15
6,smote_ratio_0.5,0.5446016388545765,0.1851203996962972,0.681917211328976,0.75,0.48692810457516345,0.125,0.1111111111111111,0.22444407640939687,0.15
6,smote_ratio_1.0,1.1053188828713032,0.19873097872418433,0.7374727668845316,0.65,0.6568627450980392,0.25,0.6666666666666666,0.3305055340213888,0.15
7,none,0.9305190753746437,0.12883560861986518,0.7385620915032679,0.8333333333333334,0.5359477124183006,0.3333333333333333,0.1111111111111111,0.13596371882086167,0.15
7,class_weight_balanced,1.1031809630490514,0.20394347266560447,0.673202614379085,0.6166666666666667,0.5915032679738562,0.20833333333333334,0.5555555555555556,0.30363183631394397,0.15
7,smote_ratio_0.5,0.8872941638531127,0.1161911640694197,0.8006535947712419,0.85,0.5915032679738562,0.5,0.2222222222222222,0.2110263692315292,0.15
7,smote_ratio_1.0,2.7912556248451486,0.20224464476091894,0.6176470588235294,0.75,0.4411764705882353,0.0,0.0,0.19627353761017127,0.15
8,none,0.9096250432333506,0.10992311849180951,0.6775599128540304,0.8833333333333333,0.6111111111111112,1.0,0.2222222222222222,0.17576733983813625,0.15
8,class_weight_balanced,2.901839611195344,0.2644839102629067,0.5435729847494554,0.55,0.5522875816993464,0.17857142857142858,0.5555555555555556,0.32643629155138876,0.15
8,smote_ratio_0.5,2.6990655145761613,0.1662327423469388,0.5773420479302832,0.7333333333333333,0.5686274509803921,0.23076923076923078,0.3333333333333333,0.23239285714285712,0.15
8,smote_ratio_1.0,2.783749761479124,0.2076077741526778,0.5773420479302832,0.6333333333333333,0.6013071895424837,0.21739130434782608,0.5555555555555556,0.28859039836567923,0.15
9,none,0.890509935919842,0.11159952356756107,0.772,0.8833333333333333,0.65,1.0,0.3,0.1470310391363023,0.16666666666666666
