candidate,method,calibration_folds,mean_fold_log_loss,sd_fold_log_loss,mean_fold_auc,sd_fold_auc
moderate_smote_ratio_0.5,smote_moderate,,1.5485437222145,1.2786439054584897,0.6827445751633987,0.09627661379183484
no_balancing,none,,1.3381408254500997,0.8286156513422935,0.6725558169934641,0.0913500227125271
sigmoid_calibration_k10,sigmoid_calibration,10.0,0.40957850747346003,0.025316933292206013,0.6837591285403051,0.10196009010565366
sigmoid_calibration_k2,sigmoid_calibration,2.0,0.4112659586578031,0.024371756447317355,0.691469716775599,0.08099818786429336
sigmoid_calibration_k3,sigmoid_calibration,3.0,0.4064988095585535,0.02353326183737876,0.7332147276688452,0.07963070609433266
sigmoid_calibration_k4,sigmoid_calibration,4.0,0.40745079235042314,0.030999538873205855,0.7043886710239652,0.09455599272591553
sigmoid_calibration_k5,sigmoid_calibration,5.0,0.4038481990983998,0.03025448318373705,0.7181232244008714,0.08671654990504893
sigmoid_calibration_k6,sigmoid_calibration,6.0,0.4095825492998535,0.024422158934469123,0.7121757734204793,0.08040328896185431
sigmoid_calibration_k8,sigmoid_calibration,8.0,0.40476319994275095,0.029128644895197522,0.7177637472766883,0.08553712948241365
