strategy,mean_fold_log_loss,sd_fold_log_loss,mean_fold_auc,sd_fold_auc
class_weight_balanced,1.7786416877089917,0.7553669286217605,0.6483613071895425,0.08504190965820721
none,1.3381408254500997,0.8286156513422935,0.6725558169934641,0.0913500227125271
smote_ratio_0.5,1.5485437222145,1.2786439054584897,0.6827445751633987,0.09627661379183484
smote_ratio_1.0,1.7595976140300522,0.9479212114571833,0.6697935511982571,0.08723636743735523
